"company" "tikr" "price" "country" "mrkt"
"1895 Bancorp of Wisconsin, Inc." "BCOW" 10.85 "US" "XNAS"
"AIM ImmunoTech, Inc." "AIM" 0.91 "AU" NA
"Arcimoto, Inc." "FUV" 7.52 "US" "XNAS"
"Amedisys, Inc." "AMED" 148.92 "US" "XNAS"
"Alico, Inc." "ALCO" 38.15 "US" "XNAS"
"Amerant Bancorp, Inc." "AMTB" 34.78 "US" "XNAS"
"Anterix, Inc." "ATEX" 55.5 "US" "XNAS"
"AdaptHealth Corp." "AHCO" 22.26 "US" "XNAS"
"Art's-Way Manufacturing Co., Inc." "ARTW" 3.5 "US" "XNAS"
"Avalon GloboCare Corp." "AVCO" 0.74 "US" "XNAS"
"Avadel Pharmaceuticals Plc" "AVDL" 6.99 "US" "XNAS"
"Acacia Research Corp." "ACTG" 5.07 "US" "XNAS"
"Apria, Inc." "APR" 29.68 "US" "XNAS"
"Avaya Holdings Corp." "AVYA" 18.8 "US" "XNYS"
"Ares Commercial Real Estate Corp." "ACRE" 14.75 "US" "XNYS"
"Afya Ltd." "AFYA" 13.5 "US" "XNAS"
"ASGN, Inc." "ASGN" 119.56 "US" "XNYS"
"Air Products & Chemicals, Inc." "APD" 297.47 "AU" NA
"Acme United Corp." "ACU" 33.06 "AU" NA
"Applied UV, Inc." "AUVI" 2.15 "US" "XNAS"
"Asensus Surgical Inc" "ASXC" 0.95 "US" "XASE"
"American Shared Hospital Services" "AMS" 2.36 "LN" NA
"Accolade, Inc. (Pennsylvania)" "ACCD" 20.92 "US" "XNAS"
"American Outdoor Brands, Inc." "AOUT" 18.37 "US" "XNAS"
"ABM Industries, Inc." "ABM" 42.94 "CA" NA
"Ark Restaurants Corp." "ARKR" 17.04 "US" "XNAS"
"Ampco-Pittsburgh Corp." "AP" 5.64 "US" "XNYS"
"Amplitude, Inc." "AMPL" 43 "US" "XNAS"
"Alexandria Real Estate Equities, Inc." "ARE" 209.08 "LN" NA
"AutoNation, Inc." "AN" 112.6 "CA" NA
"Alpha Pro Tech Ltd." "APT" 6.11 "AU" NA
"89bio, Inc." "ETNB" 13.1 "US" "XNAS"
"Affiliated Managers Group, Inc." "AMG" 163.93 "AU" NA
"AMERCO" "UHAL" 701.88 "US" "XNAS"
"ArcelorMittal SA" "MT" 34.81 "CA" NA
"Array Technologies, Inc." "ARRY" 14.11 "US" "XNAS"
"Aon Plc" "AON" 282.9 "AU" NA
"ACM Research, Inc." "ACMR" 82 "US" "XNAS"
"American Assets Trust, Inc." "AAT" 38.62 "AU" NA
"ATI Physical Therapy, Inc." "ATIP" 3.11 NA NA
"Accuray, Inc." "ARAY" 4.28 "US" "XNAS"
"Adial Pharmaceuticals, Inc." "ADIL" 2.55 "US" "XNAS"
"Aehr Test Systems" "AEHR" 16.14 "US" "XNAS"
"Alight, Inc." "ALIT" 9.78 NA NA
"Alpine Income Property Trust, Inc." "PINE" 20.01 "US" "XNYS"
"American Campus Communities, Inc." "ACC" 55.43 "LN" NA
"Allakos, Inc." "ALLK" 8.41 "US" "XNAS"
"Aeva Technologies, Inc." "AEVA" 6.66 "US" "XNYS"
"Amtech Systems, Inc." "ASYS" 9.07 "US" "XNAS"
"ACADIA Pharmaceuticals, Inc." "ACAD" 22.59 "US" "XNAS"
"Ambev SA" "ABEV" 2.6 "US" "XNYS"
"Alterity Therapeutics Ltd." "ATHE" 1 "US" "XNAS"
"Affinity Bancshares, Inc." "AFBI" 15.85 "US" "XNAS"
"ALJ Regional Holdings, Inc." "ALJJ" 1.78 "US" "XNAS"
"Associated Banc-Corp" "ASB" 24.94 "AU" NA
"Aravive, Inc." "ARAV" 2.75 "US" "XNAS"
"Advance Auto Parts, Inc." "AAP" 238.09 "AU" NA
"Arrival SA" "ARVL" 7.21 "US" "XNAS"
"Allegro MicroSystems, Inc." "ALGM" 32.2 "US" "XNAS"
"Aspira Women's Health, Inc." "AWH" 1.47 "US" "XNAS"
"Aspen Aerogels, Inc." "ASPN" 43.58 "US" "XNYS"
"AGCO Corp." "AGCO" 121.59 "US" "XNYS"
"AT&T, Inc." "T" 26.3 "CA" NA
"Atlantic Union Bankshares Corp." "AUB" 41.22 "AU" NA
"Assembly Biosciences, Inc." "ASMB" 2.1 "US" "XNAS"
"9 Meters Biopharma, Inc." "NMTR" 0.89 "US" "XNAS"
"Apartment Income REIT Corp." "AIRC" 53.32 "US" "XNYS"
"Alamos Gold, Inc." "AGI" 7.03 "AU" NA
"Ally Financial, Inc." "ALLY" 49.9 "US" "XNYS"
"Armstrong World Industries, Inc." "AWI" 110.01 "CA" NA
"Avalara, Inc." "AVLR" 109.2 "US" "XNYS"
"Akerna Corp." "KERN" 1.72 "US" "XNAS"
"AeroVironment, Inc." "AVAV" 62.55 "US" "XNAS"
"Aemetis, Inc." "AMTX" 10.91 "US" "XNAS"
"Applied Molecular Transport, Inc." "AMTI" 12.21 "US" "XNAS"
"Alamo Group, Inc." "ALG" 156.41 "AU" NA
"Alliant Energy Corp." "LNT" 60.98 "US" "XNAS"
"Adient plc" "ADNT" 48.28 "US" "XNYS"
"Apple Hospitality REIT, Inc." "APLE" 16.8 "US" "XNYS"
"Anthem, Inc." "ANTM" 434.97 "US" "XNYS"
"Annovis Bio, Inc." "ANVS" 17.02 "US" "XASE"
"Atlantic American Corp." "AAME" 2.91 "US" "XNAS"
"Anavex Life Sciences Corp." "AVXL" 15.52 "US" "XNAS"
"Activision Blizzard, Inc." "ATVI" 64.07 "US" "XNAS"
"Allena Pharmaceuticals, Inc." "ALNA" 0.5 "LN" NA
"America's Car-Mart, Inc." "CRMT" 100.55 "US" "XNAS"
"Autoliv, Inc." "ALV" 105.67 "CA" NA
"Acutus Medical, Inc." "AFIB" 3.12 "US" "XNAS"
"Apollo Global Management, Inc." "APO" 69 "AU" NA
"Applovin Corp - Ordinary Shares - Class A" "APP" 80.48 "LN" NA
"American Homes 4 Rent" "AMH" 41.42 "AU" NA
"ACRES Commercial Realty Corp." "ACR" 12.38 "AU" NA
"Alpha & Omega Semiconductor Ltd." "AOSL" 54.33 "US" "XNAS"
"4D Molecular Therapeutics, Inc." "FDMT" 18.77 "US" "XNAS"
"Astronics Corp." "ATRO" 13.6 "US" "XNAS"
"Akoustis Technologies, Inc." "AKTS" 5.99 "US" "XNAS"
"ARMOUR Residential REIT, Inc." "ARR" 10.08 "LN" NA
"American Software, Inc." "AMSWA" 24.81 "US" "XNAS"
"Alphatec Holdings, Inc." "ATEC" 11.31 "US" "XNAS"
"Annexon, Inc." "ANNX" 8.32 "US" "XNAS"
"AMN Healthcare Services, Inc." "AMN" 116.6 "AU" NA
"Altra Industrial Motion Corp." "AIMC" 50.76 "US" "XNAS"
"American International Group, Inc." "AIG" 60.76 "US" "XNYS"
"AECOM" "ACM" 74.52 "US" "XNYS"
"Akero Therapeutics, Inc." "AKRO" 20.02 "US" "XNAS"
"Apollo Endosurgery, Inc." "APEN" 7.46 "US" "XNAS"
"Adicet Bio, Inc." "ACET" 15.55 "US" "XNAS"
"Agrify Corp." "AGFY" 9.3 "US" "XNAS"
"Amazon.com, Inc." "AMZN" 3251.34 "US" "XNAS"
"ABIOMED, Inc." "ABMD" 319.04 "US" "XNAS"
"Auburn National Bancorporation, Inc." "AUBN" 32.62 "US" "XNAS"
"American Express Co." "AXP" 174.39 "AU" NA
"Arcus Biosciences, Inc." "RCUS" 37.41 "US" "XNYS"
"Amyris, Inc." "AMRS" 4.6 "US" "XNAS"
"Aptorum Group Ltd." "APM" 1.57 "US" "XNAS"
"Aqua Metals, Inc." "AQMS" 1.16 "US" "XNAS"
"Amdocs Ltd." "DOX" 75.22 "US" "XNAS"
"3M Co." "MMM" 179.91 "LN" NA
"America Movil SAB de CV" "AMX" 20.47 "AU" NA
"AFC Gamma, Inc." "AFCG" 20.1 NA NA
"Alteryx, Inc." "AYX" 58.1 "US" "XNYS"
"Airgain, Inc." "AIRG" 10.35 "US" "XNAS"
"Albany International Corp." "AIN" 89.45 "US" "XNYS"
"argenx SE" "ARGX" 312.93 "US" "XNAS"
"Atlas Corp. (British Columbia)" "ATCO" 14.3 "US" "XNYS"
"ATIF Holdings Ltd." "ATIF" 4 "US" "XNAS"
"Altus Midstream Co." "ALTM" 62 "US" "XNAS"
"Atlassian Corp. Plc" "TEAM" 303.87 "LN" NA
"Ashland Global Holdings, Inc." "ASH" 103.89 "LN" NA
"Aligos Therapeutics, Inc." "ALGS" 3.93 "US" "XNAS"
"Albireo Pharma, Inc." "ALBO" 26.18 "US" "XNAS"
"Alithya Group, Inc." "ALYA" 2.52 "CA" NA
"3D Systems Corp." "DDD" 19.83 "AU" NA
"A-Mark Precious Metals, Inc." "AMRK" 56.23 "US" "XNAS"
"Academy Sports & Outdoors, Inc." "ASO" 40.67 "AU" NA
"AgroFresh Solutions, Inc." "AGFS" 2.22 "US" "XNAS"
"Akoya Biosciences, Inc." "AKYA" 12.8 "US" "XNAS"
"AvalonBay Communities, Inc." "AVB" 248.87 "AU" NA
"American Equity Investment Life Holding Co." "AEL" 41.22 "US" "XNYS"
"1847 Goedeker, Inc." "GOED" 2.26 "US" "XASE"
"Addex Therapeutics Ltd." "ADXN" 6.53 "US" "XNAS"
"Arlo Technologies, Inc." "ARLO" 9.73 "US" "XNYS"
"Apollo Commercial Real Estate Finance, Inc." "ARI" 13.71 "AU" NA
"Acadia Healthcare Co., Inc." "ACHC" 56.42 "US" "XNAS"
"Applied DNA Sciences, Inc." "APDN" 4.12 "US" "XNAS"
"Allot Ltd." "ALLT" 12.25 "US" "XNAS"
"Aegon NV" "AEG" 5.55 "LN" NA
"Æterna Zentaris, Inc." "AEZS" 0.38 "CA" NA
"Advantage Solutions, Inc. (California)" "ADV" 7.32 "LN" NA
"ARCA biopharma, Inc." "ABIO" 2.04 "US" "XNAS"
"1st Source Corp." "SRCE" 52.42 "US" "XNAS"
"Ambac Financial Group, Inc." "AMBC" 15.85 "US" "XNYS"
"American Virtual Cloud Technologies, Inc." "AVCT" 2.32 "LN" NA
"Allegiance Bancshares, Inc. (Texas)" "ABTX" 43.86 "US" "XNAS"
"Akumin, Inc." "AKU" 1.63 "CA" NA
"8x8, Inc." "EGHT" 16.63 "US" "XNYS"
"1-800-FLOWERS.COM, Inc." "FLWS" 24.25 "US" "XNAS"
"Avangrid, Inc." "AGR" 50.09 "LN" NA
"AmerisourceBergen Corp." "ABC" 133.12 "LN" NA
"Audacy Inc - Ordinary Shares - Class A" "AUD" 2.46 "US" "XNYS"
"Atara Biotherapeutics, Inc." "ATRA" 15.72 "US" "XNAS"
"AppFolio, Inc." "APPF" 118.77 "US" "XNAS"
"Acasti Pharma, Inc." "ACST" 1.29 "CA" NA
"First Financial Bancorp (Ohio)" "FFBC" 26.49 "US" "XNAS"
"Grupo Aeroportuario del Sureste SA de CV" "ASR" 211.71 "CA" NA
"Forum Energy Technologies, Inc." "FET" 17.87 "US" "XNYS"
"First Interstate BancSystem, Inc. (Montana)" "FIBK" 44.54 "US" "XNAS"
"First Western Financial, Inc." "MYFW" 31.68 "US" "XNAS"
"Fluidigm Corp." "FLDM" 3.18 "US" "XNAS"
"GXO Logistics Inc" "GXO" 83.39 "CA" NA
"Flexsteel Industries, Inc." "FLXS" 28.28 "US" "XNAS"
"Grupo Supervielle SA" "SUPV" 1.99 "US" "XNYS"
"Freedom Holding Corp." "FRHC" 67.58 "US" "XNAS"
"First Financial Bankshares, Inc." "FFIN" 52.78 "US" "XNAS"
"FibroGen, Inc." "FGEN" 13.55 "US" "XNAS"
"First High-School Education Group Co., Ltd." "FHS" 1.72 "AU" NA
"Franklin Resources, Inc." "BEN" 35.17 "AU" NA
"Freeline Therapeutics Holdings Plc" "FRLN" 1.73 "US" "XNAS"
"GoHealth, Inc." "GOCO" 2.97 "LN" NA
"First Midwest Bancorp, Inc. (Illinois)" "FMBI" 22.04 "US" "XNAS"
"First Financial Corp. (Indiana)" "THFF" 45.9 "US" "XNAS"
"Hepion Pharmaceuticals, Inc." "HEPA" 1.25 "US" "XNAS"
"Exelon Corp." "EXC" 56.63 "AU" NA
"Hutchmed (China) Ltd." "HCM" 33.1 "LN" NA
"Healthcare Realty Trust, Inc." "HR" 31.46 "US" "XNYS"
"F5 Networks, Inc." "FFIV" 232.13 "US" "XNAS"
"Fresenius Medical Care AG & Co. KGaA" "FMS" 32.44 "NZ" NA
"GlaxoSmithKline Plc" "GSK" 43.85 "LN" NA
"Equus Total Return Fund" "EQS" 2.36 "US" "XNYS"
"Exicure, Inc." "XCUR" 0.2 "US" "XNAS"
"Fuwei Films (Holdings) Co., Ltd." "FFHL" 7.93 "US" "XNAS"
"Huadi International Group Co. Ltd." "HUDI" 29.89 "US" "XNAS"
"Euronav NV" "EURN" 9.15 "US" "XNYS"
"Hudson Technologies, Inc." "HDSN" 4.06 "US" "XNAS"
"Flowserve Corp." "FLS" 31.64 "US" "XNYS"
"Heron Therapeutics, Inc." "HRTX" 8.72 "US" "XNAS"
"Fulcrum Therapeutics, Inc." "FULC" 15.26 "US" "XNAS"
"Exagen, Inc." "XGN" 10.6 "US" "XNAS"
"Euronet Worldwide, Inc." "EEFT" 123.36 "US" "XNAS"
"Fortress Biotech, Inc." "FBIO" 2.42 "US" "XNAS"
"Everspin Technologies, Inc." "MRAM" 10.2 "US" "XNAS"
"F.N.B. Corp. (Pennsylvania)" "FNB" 13.72 "US" "XNYS"
"Hercules Capital, Inc." "HTGC" 17.02 "US" "XNYS"
"IBEX Ltd." "IBEX" 14.26 "US" "XNAS"
"First Capital, Inc." "FCAP" 41.44 "LN" NA
"FutureFuel Corp." "FF" 8.11 "CA" NA
"EyePoint Pharmaceuticals, Inc." "EYPT" 14.11 "US" "XNAS"
"Helmerich & Payne, Inc." "HP" 27.79 "CA" NA
"Genco Shipping & Trading Ltd." "GNK" 15.99 "LN" NA
"HEXO Corp." "HEXO" 0.67 "CA" NA
"FTC Solar, Inc." "FTCI" 6.8 "US" "XNAS"
"First Merchants Corp. (Indiana)" "FRME" 45.54 "US" "XNAS"
"Ever-Glory International Group, Inc." "EVK" 2.36 "US" "XNAS"
"Exponent, Inc." "EXPO" 103.67 "US" "XNAS"
"Franchise Group, Inc." "FRG" 52.96 "US" "XNAS"
"First Hawaiian, Inc." "FHB" 30.53 "US" "XNAS"
"Houston American Energy Corp." "HUSA" 1.43 "US" "XASE"
"Goodyear Tire & Rubber Co." "GT" 21.89 "US" "XNAS"
"GH Research Plc" "GHRS" 18.76 "US" "XNAS"
"Farmmi, Inc." "FAMI" 0.26 "US" "XNAS"
"GrowGeneration Corp." "GRWG" 11.13 "US" "XNAS"
"Espey Manufacturing & Electronics Corp." "ESP" 13.25 "LN" NA
"Fusion Fuel Green Plc" "HTOO" 8.86 "US" "XNAS"
"FirstService Corp." "FSV" 176.04 "LN" NA
"HCA Healthcare, Inc." "HCA" 252.14 "US" "XNYS"
"Franklin Covey Co." "FC" 50.78 "CA" NA
"Global Medical REIT, Inc." "GMRE" 17.85 "US" "XNYS"
"FormFactor, Inc." "FORM" 42.28 "US" "XNAS"
"Golden Minerals Co." "AUMN" 0.34 "CA" NA
"Ero Copper Corp." "ERO" 14.41 "CA" NA
"Humanigen, Inc." "HGEN" 3.15 "US" "XNAS"
"Evofem Biosciences, Inc." "EVFM" 0.38 "US" "XNAS"
"Fifth Third Bancorp" "FITB" 48.81 "US" "XNAS"
"Gray Television, Inc." "GTN" 21.48 "AU" NA
"EZCORP, Inc." "EZPW" 7.32 "US" "XNAS"
"Huntsman Corp." "HUN" 35.78 "US" "XNYS"
"Gilead Sciences, Inc." "GILD" 71.26 "LN" NA
"FinVolution Group" "FINV" 4.68 "US" "XNYS"
"Fiserv, Inc." "FISV" 108.85 "US" "XNAS"
"Howmet Aerospace, Inc." "HWM" 34.01 "US" "XNYS"
"Evogene Ltd." "EVGN" 1.63 "US" "XNAS"
"FirstCash Holdings Inc" "FCFS" 73.94 "US" "XNAS"
"FS KKR Capital Corp." "FSK" 21.83 "US" "XNYS"
"FIGS, Inc." "FIGS" 22.52 "US" "XNYS"
"Flanigan's Enterprises, Inc." "BDL" 30.24 "US" "XASE"
"First Community Bancshares, Inc. (Virginia)" "FCBC" 35.48 "US" "XNAS"
"Green Dot Corp." "GDOT" 36.06 "US" "XNYS"
"Hostess Brands, Inc." "TWNK" 20.36 "US" "XNAS"
"Greenpro Capital Corp." "GRNQ" 0.61 "US" "XNAS"
"Euroseas Ltd." "ESEA" 25.74 "US" "XNAS"
"EPR Properties" "EPR" 48.7 "US" "XNYS"
"Essex Property Trust, Inc." "ESS" 344.25 "AU" NA
"Genius Brands International, Inc." "GNUS" 1.09 "US" "XNAS"
"Histogen, Inc." "HSTO" 0.3 "US" "XNAS"
"HNI Corp." "HNI" 41.5 "US" "XNYS"
"HubSpot, Inc." "HUBS" 510.34 "US" "XNYS"
"Genetron Holdings Ltd." "GTH" 5.21 "CA" NA
"Evoqua Water Technologies Corp." "AQUA" 42.35 "CA" NA
"Gogo, Inc." "GOGO" 13.53 "US" "XNAS"
"Evaxion Biotech A/S" "EVAX" 4.34 "US" "XNAS"
"ESSA Pharma, Inc." "EPIX" 12.55 "US" "XNAS"
"Forward Industries, Inc." "FORD" 1.65 "US" "XNAS"
"Evolus, Inc." "EOLS" 6.19 "US" "XNAS"
"iHuman, Inc." "IH" 2.98 "US" "XNYS"
"Huaneng Power International, Inc." "HNP" 22.45 "US" "XNYS"
"AMTD International, Inc." "HKIB" 3.19 "US" "XNYS"
"AmeriServ Financial, Inc." "ASRV" 3.98 "US" "XNAS"
"HudBay Minerals, Inc." "HBM" 7.34 "CA" NA
"HUYA, Inc." "HUYA" 7 "US" "XNYS"
"Hut 8 Mining Corp." "HUT" 6.61 "CA" NA
"IAMGOLD Corp." "IAG" 2.79 "LN" NA
"Huize Holding Ltd." "HUIZ" 1.43 "US" "XNAS"
"Huazhu Group Ltd." "HTHT" 36.82 "US" "XNAS"
"I-Mab" "IMAB" 40.68 "US" "XNAS"
"Hywin Holdings Ltd." "HYW" 5.73 "US" "XNAS"
"HollySys Automation Technologies Ltd." "HOLI" 15.59 "US" "XNAS"
"Hailiang Education Group, Inc." "HLG" 12.27 "NZ" NA
"High Tide, Inc." "HITI" 4.58 "CA" NA
"Honda Motor Co., Ltd." "HMC" 29.74 "AU" NA
"TC Energy Corp." "TRP" 48.8 "LN" NA
"Telecom Argentina SA" "TEO" 5 "AU" NA
"Vodafone Group Plc" "VOD" 15.84 "LN" NA
"The Real Brokerage, Inc." "REAX" 3.1 "CA" NA
"STMicroelectronics NV" "STM" 49.89 "LN" NA
"SunOpta, Inc." "STKL" 6.59 "US" "XNAS"
"Telefonaktiebolaget LM Ericsson" "ERIC" 11.05 "US" "XNAS"
"Titan Medical, Inc." "TMDI" 0.62 "US" "XNAS"
"Taboola.com Ltd." "TBLA" 6.72 NA NA
"Vision Marine Technologies, Inc." "VMAR" 4.84 "US" "XNAS"
"SoFi Technologies, Inc." "SOFI" 13.72 NA NA
"UBS Group AG" "UBS" 19.35 "US" "XNYS"
"Taseko Mines Ltd." "TGB" 2.06 "US" "XASE"
"TFI International, Inc." "TFII" 102.81 "CA" NA
"Thomson Reuters Corp." "TRI" 112.68 "LN" NA
"Telefonica Brasil SA" "VIV" 8.28 "AU" NA
"Vasta Platform Ltd." "VSTA" 4.03 "US" "XNAS"
"Suzano SA" "SUZ" 10.54 "US" "XNYS"
"The Bank of Nova Scotia" "BNS" 72.42 "CA" NA
"The Lion Electric Co." "LEV" 9.69 "CA" NA
"TD Holdings, Inc." "GLG" 0.35 "CA" NA
"Teekay Tankers Ltd." "TNK" 11.71 "AU" NA
"UnitedHealth Group, Inc." "UNH" 458.39 "US" "XNYS"
"TDH Holdings, Inc." "PETZ" 4.11 "US" "XNAS"
"Suncor Energy, Inc." "SU" 26.55 "CA" NA
"Sun Life Financial, Inc." "SLF" 56.09 "CA" NA
"The Hackett Group, Inc." "HCKT" 20.14 "US" "XNAS"
"VectivBio Holding AG" "VECT" 4.91 "US" "XNAS"
"TIM SA (Brazil)" "TIMB" 11.01 "US" "XNYS"
"TELUS International (CDA), Inc." "TIXT" 30.13 "CA" NA
"Vipshop Holdings Ltd." "VIPS" 8.91 "US" "XNYS"
"trivago NV" "TRVG" 2.27 "US" "XNAS"
"Vicinity Motor Corp." "VEV" 3.65 "US" "XNAS"
"Wheaton Precious Metals Corp." "WPM" 38.56 "CA" NA
"TELUS Corp." "TU" 23.45 "US" "XNYS"
"TE Connectivity Ltd." "TEL" 158.49 "CA" NA
"Teck Resources Ltd." "TECK" 30.42 "US" "XNYS"
"The Descartes Systems Group, Inc." "DSGX" 75.15 "US" "XNAS"
"Tanzanian Gold Corp." "TRX" 0.41 "LN" NA
"China Xiangtai Food Co., Ltd." "PLIN" 1.13 "US" "XNAS"
"CGI, Inc." "GIB" 84.07 "AU" NA
"Cassava Sciences, Inc." "SAVA" 47.88 "US" "XNAS"
"Chipotle Mexican Grill, Inc." "CMG" 1597.33 "AU" NA
"Cenovus Energy, Inc." "CVE" 13.71 "CA" NA
"Chindata Group Holdings Ltd." "CD" 5.68 "CA" NA
"Centerra Gold, Inc." "CGAU" 8.1 "US" "XNYS"
"China Pharma Holdings, Inc." "CPHI" 0.41 "US" "XASE"
"CI Financial Corp." "CIXX" 20.96 "US" "XNYS"
"Centrais Elétricas Brasileiras SA" "EBR" 5.4 "US" "XNYS"
"Central Puerto SA" "CEPU" 3.09 "US" "XNYS"
"Carnival Plc" "CUK" 20.18 "US" "XNYS"
"Celyad Oncology SA" "CYAD" 3.85 "US" "XNAS"
"China Online Education Group" "COE" 1.12 "AU" NA
"China HGS Real Estate, Inc." "HGSH" 3.47 "US" "XNAS"
"China Eastern Airlines Corp. Ltd." "CEA" 19.19 "CA" NA
"Cheetah Mobile, Inc." "CMCM" 1.29 "US" "XNYS"
"China Automotive Systems, Inc." "CAAS" 2.65 "US" "XNAS"
"China Finance Online Co., Ltd." "JRJC" 6.5 "US" "XNAS"
"China Liberal Education Holdings Ltd." "CLEU" 1.29 "US" "XNAS"
"Celestica, Inc." "CLS" 11.09 "CA" NA
"China Recycling Energy Corp." "CREG" 6.4 "US" "XNAS"
"China Green Agriculture, Inc." "CGA" 9.27 "AU" NA
"China Index Holdings Ltd." "CIH" 1 "US" "XNAS"
"Chubb Ltd." "CB" 201.16 "CA" NA
"Centrais Elétricas Brasileiras SA" "EBR/B" 5.35 NA NA
"Novartis AG" "NVS" 89.31 "US" "XNYS"
"Ryanair Holdings Plc" "RYAAY" 116.08 "US" "XNAS"
"Rio Tinto Plc" "RIO" 72.24 "LN" NA
"Puhui Wealth Investment Management Co. Ltd." "PHCF" 1.5 "US" "XNAS"
"Royal Bank of Canada" "RY" 112.13 "CA" NA
"Pretium Resources, Inc." "PVG" 14.1 "LN" NA
"Restaurant Brands International, Inc." "QSR" 58.3 "CA" NA
"Sierra Wireless, Inc." "SWIR" 16.92 "US" "XNAS"
"Sandstorm Gold Ltd." "SAND" 5.64 "CA" NA
"Opthea Ltd." "OPT" 7.59 "AU" NA
"Royal Dutch Shell Plc" "RDS/B" 47.32 NA NA
"Sierra Oncology, Inc." "SRRA" 21.96 "US" "XNAS"
"North American Construction Group Ltd." "NOA" 15.07 "CA" NA
"Royal Caribbean Group" "RCL" 81.01 "AU" NA
"Puyi, Inc." "PUYI" 6.94 "US" "XNAS"
"Ritchie Bros. Auctioneers, Inc." "RBA" 59.79 "CA" NA
"Royal Dutch Shell Plc" "RDS/A" 47.28 NA NA
"Puxin Ltd." "NEW" 0.35 "AU" NA
"Qudian Inc." "QD" 1.02 "US" "XNYS"
"Repare Therapeutics, Inc." "RPTX" 16.7 "US" "XNAS"
"Nutrien Ltd." "NTR" 69.14 "CA" NA
"PyroGenesis Canada, Inc." "PYR" 2.75 "AU" NA
"Osisko Gold Royalties Ltd." "OR" 11.25 "CA" NA
"Purple Biotech Ltd." "PPBT" 4.15 "US" "XNAS"
"Onion Global Ltd." "OG" 2.2 "CA" NA
"Sierra Metals, Inc." "SMTS" 1.3 "US" "XASE"
"Resolute Forest Products, Inc." "RFP" 15.14 "CA" NA
"Rogers Communications, Inc." "RCI" 48.75 "US" "XNYS"
"Quotient Ltd." "QTNT" 2.19 "US" "XNAS"
"Profound Medical Corp." "PROF" 10.5 "US" "XNAS"
"Precision Drilling Corp." "PDS" 41.39 "US" "XNYS"
"Oriental Culture Holding Ltd." "OCG" 5.21 "CA" NA
"CN Energy Group, Inc." "CNEY" 2.5 "US" "XNAS"
"Eneti, Inc." "NETI" 7.72 "US" "XNYS"
"Magna International, Inc." "MGA" 85.59 "CA" NA
"Milestone Pharmaceuticals, Inc." "MIST" 7.1 "US" "XNAS"
"Mogu, Inc." "MOGU" 0.37 "US" "XNYS"
"Metalla Royalty & Streaming Ltd." "MTA" 6.44 "CA" NA
"Peraso Inc" "PRSO" 3.75 NA NA
"Logitech International SA" "LOGI" 80.94 "US" "XNAS"
"Cenntro Electric Group Limited" "NAKD" 3.95 "US" "XNAS"
"Manulife Financial Corp." "MFC" 20.2 "CA" NA
"monday.com Ltd." "MNDY" 237.38 "US" "XNAS"
"Lloyds Banking Group Plc" "LYG" 2.85 "US" "XNYS"
"Moxian (BVI), Inc." "MOXC" 2.92 "US" "XNAS"
"Medicenna Therapeutics Corp." "MDNA" 1.87 "CA" NA
"Liquid Media Group Ltd." "YVR" 1.01 "US" "XNAS"
"Newegg Commerce, Inc." "NEGG" 8.86 "US" "XNAS"
"Maverix Metals, Inc." "MMX" 4.09 "LN" NA
"Mdjm Ltd." "MDJH" 1.72 "US" "XNAS"
"Meten Holding Group Ltd." "METX" 0.23 "US" "XNAS"
"Mind Medicine (MindMed), Inc." "MNMD" 1.23 "US" "XNAS"
"Liminal BioSciences, Inc." "LMNL" 1.12 "CA" NA
"Mesoblast Ltd." "MESO" 4.65 "US" "XNAS"
"MAG Silver Corp." "MAG" 14.65 "AU" NA
"Lizhi, Inc." "LIZI" 1.62 "US" "XNAS"
"Mercurity Fintech Holding, Inc." "MFH" 2.74 "US" "XNAS"
"Loma Negra Compañía Industrial Argentina SA" "LOMA" 6.46 "US" "XNYS"
"Main Street Capital Corp." "MAIN" 44.41 "US" "XNYS"
"MMTec, Inc." "MTC" 0.6 "LN" NA
"Luokung Technology Corp." "LKCO" 0.61 "US" "XNAS"
"Mogo, Inc." "MOGO" 2.92 "CA" NA
"MercadoLibre, Inc." "MELI" 1085.68 "US" "XNAS"
"MINISO Group Holding Ltd." "MNSO" 10.48 "US" "XNYS"
"Loop Industries, Inc." "LOOP" 11.56 "LN" NA
"Mercer International, Inc." "MERC" 12.08 "LN" NA
"MedAvail Holdings, Inc." "MDVL" 1.28 "US" "XNAS"
"Materialise NV" "MTLS" 22.06 "US" "XNAS"
"Lixiang Education Holding Co., Ltd." "LXEH" 10.2 "US" "XNAS"
"Methanex Corp." "MEOH" 43.56 "US" "XNAS"
"Molecular Data, Inc." "MKD" 0.21 "US" "XNAS"
"Lufax Holding Ltd." "LU" 5.37 "US" "XNYS"
"Molecular Partners AG" "MOLN" 16.66 NA NA
"Hexcel Corp." "HXL" 54.7 "AU" NA
"GEE Group, Inc." "JOB" 0.59 "CA" NA
"ICON plc" "ICLR" 280.25 "US" "XNAS"
"Envela Corp." "ELA" 4.14 "LN" NA
"Fidus Investment Corp." "FDUS" 17.83 "US" "XNAS"
"Galapagos NV" "GLPG" 51.76 "US" "XNAS"
"Gap, Inc." "GPS" 18.13 "AU" NA
"First Industrial Realty Trust, Inc." "FR" 61.47 "CA" NA
"Hall of Fame Resort & Entertainment Co." "HOFV" 1.58 "US" "XNAS"
"Ideanomics, Inc." "IDEX" 1.19 "US" "XNAS"
"First US Bancshares, Inc." "FUSB" 10.58 "US" "XNAS"
