"company" "tikr" "price" "country" "mrkt"
"Adverum Biotechnologies, Inc." "ADVM" 1.69 "US" "XNAS"
"Allscripts Healthcare Solutions, Inc." "MDRX" 17.66 "US" "XNAS"
"AMREP Corp." "AXR" 15.06 "CA" NA
"Aramark" "ARMK" 36.43 "US" "XNYS"
"Antero Midstream Corp." "AM" 10.21 "CA" NA
"Accel Entertainment, Inc." "ACEL" 12.75 "US" "XNYS"
"Agora, Inc. (China)" "API" 14.42 "AU" NA
"AMCON Distributing Co." "DIT" 182.65 "AU" NA
"AstroNova, Inc." "ALOT" 13.15 "US" "XNAS"
"Adaptive Biotechnologies Corp." "ADPT" 23.17 "US" "XNAS"
"ACCO Brands Corp." "ACCO" 8.3 "US" "XNYS"
"Agios Pharmaceuticals, Inc." "AGIO" 32.64 "US" "XNAS"
"Alerus Financial Corp." "ALRS" 29.85 "US" "XNAS"
"Ashford, Inc." "AINC" 18.63 "US" "XASE"
"Atento SA" "ATTO" 28.12 "US" "XNYS"
"ADTRAN, Inc." "ADTN" 20.4 "US" "XNAS"
"Adams Resources & Energy, Inc." "AE" 27.25 "US" "XASE"
"Arcadia Biosciences, Inc." "RKDA" 1.13 "US" "XNAS"
"Ares Capital Corp." "ARCC" 21.23 "US" "XNAS"
"Anika Therapeutics, Inc." "ANIK" 34.41 "US" "XNAS"
"Archer-Daniels-Midland Co." "ADM" 69.81 "LN" NA
"American National Bankshares, Inc. (Virginia)" "AMNB" 39.68 "US" "XNAS"
"Allied Esports Entertainment, Inc." "AESE" 1.86 "US" "XNAS"
"Autohome, Inc." "ATHM" 33.3 "US" "XNYS"
"Apellis Pharmaceuticals, Inc." "APLS" 44.06 "US" "XNAS"
"Athenex, Inc." "ATNX" 1.26 "US" "XNAS"
"Aerie Pharmaceuticals, Inc." "AERI" 7.72 "LN" NA
"Alliance Data Systems Corp." "ADS" 70.4 "AU" NA
"Ascendis Pharma A/S" "ASND" 116.58 "CA" NA
"36Kr Holdings, Inc." "KRKR" 1.08 "US" "XNAS"
"Applied Genetic Technologies Corp." "AGTC" 1.78 "US" "XNAS"
"Air Transport Services Group, Inc." "ATSG" 27.71 "US" "XNAS"
"Air Lease Corp." "AL" 46.18 "CA" NA
"Apyx Medical Corp." "APYX" 10.86 "US" "XNAS"
"Aspen Technology, Inc." "AZPN" 147.47 "US" "XNAS"
"Amalgamated Financial Corp." "AMAL" 17.49 "US" "XNAS"
"AcelRx Pharmaceuticals, Inc." "ACRX" 0.53 "US" "XNAS"
"Ameriprise Financial, Inc." "AMP" 319.34 "NZ" NA
"Applied Industrial Technologies, Inc." "AIT" 101.21 "US" "XNYS"
"Altria Group, Inc." "MO" 49.79 "US" "XNYS"
"Astra Space, Inc." "ASTR" 6.13 NA NA
"AG Mortgage Investment Trust, Inc." "MITT" 10.39 "US" "XNYS"
"AAR Corp." "AIR" 41.68 "LN" NA
"American Public Education, Inc." "APEI" 23.01 "US" "XNAS"
"Advanced Micro Devices, Inc." "AMD" 131.98 "AU" NA
"Adagene, Inc." "ADAG" 8.75 NA NA
"Amryt Pharma Plc" "AMYT" 10.78 "LN" NA
"Astrazeneca plc - ADR" "AZN" 57.5 "LN" NA
"AIkido Pharma, Inc." "AIKI" 0.57 "US" "XNAS"
"Associated Capital Group, Inc." "AC" 43.3 "MM" NA
"Asbury Automotive Group, Inc." "ABG" 175.19 "US" "XNYS"
"Air T, Inc." "AIRT" 25.27 "US" "XNAS"
"Atea Pharmaceuticals, Inc." "AVIR" 7.63 "US" "XNAS"
"Atrion Corp." "ATRI" 675 "US" "XNAS"
"AmpliTech Group, Inc." "AMPG" 3.66 "US" "XNAS"
"Akari Therapeutics Plc" "AKTX" 1.45 "US" "XNAS"
"ATA Creativity Global" "AACG" 2.64 "US" "XNAS"
"Aptevo Therapeutics, Inc." "APVO" 7.37 "US" "XNAS"
"Altair Engineering, Inc." "ALTR" 67.57 "US" "XNAS"
"Asana, Inc." "ASAN" 61.2 "US" "XNYS"
"Acorda Therapeutics, Inc." "ACOR" 2.29 "US" "XNAS"
"Alnylam Pharmaceuticals, Inc." "ALNY" 148.34 "US" "XNAS"
"Aileron Therapeutics, Inc." "ALRN" 0.5 "US" "XNAS"
"Americold Realty Trust, Inc." "COLD" 30.99 "US" "XNYS"
"BitNile Holdings Inc." "NILE" 1.14 "US" "XNAS"
"Aesthetic Medical International Holdings Group Ltd." "AIH" 3.61 "US" "XNAS"
"American Realty Investors, Inc." "ARL" 12.98 "AU" NA
"Agiliti, Inc. (Minnesota)" "AGTI" 20.33 "US" "XNYS"
"Ares Management Corp." "ARES" 74.99 "US" "XNYS"
"ATN International, Inc." "ATNI" 41.77 "US" "XNAS"
"Advanced Emissions Solutions, Inc." "ADES" 7.13 "LN" NA
"Amkor Technology, Inc." "AMKR" 23.72 "US" "XNAS"
"Affimed NV" "AFMD" 4.83 "US" "XNAS"
"American Woodmark Corp." "AMWD" 62.6 "US" "XNAS"
"Amphenol Corp." "APH" 82.13 "LN" NA
"AnaptysBio, Inc." "ANAB" 32.88 "US" "XNAS"
"AnPac Bio-Medical Science Co. Ltd." "ANPC" 1.19 "US" "XNAS"
"Allegheny Technologies, Inc." "ATI" 18.27 "AU" NA
"Astec Industries, Inc." "ASTE" 71.69 "US" "XNAS"
"American Eagle Outfitters, Inc." "AEO" 23.95 "LN" NA
"Acumen Pharmaceuticals, Inc." "ABOS" 5.75 "US" "XNAS"
"Ames National Corp." "ATLO" 24.74 "US" "XNAS"
"AbCellera Biologics, Inc." "ABCL" 11.81 "US" "XNAS"
"Aridis Pharmaceuticals, Inc." "ARDS" 1.72 "US" "XNAS"
"American Water Works Co., Inc." "AWK" 173.51 "US" "XNYS"
"Aerovate Therapeutics, Inc." "AVTE" 10.11 "US" "XNAS"
"Amphastar Pharmaceuticals, Inc." "AMPH" 25.05 "LN" NA
"Aprea Therapeutics, Inc." "APRE" 2.79 "US" "XNAS"
"Arcutis Biotherapeutics, Inc." "ARQT" 18.74 "US" "XNAS"
"Aptose Biosciences, Inc." "APTO" 1.38 "US" "XNAS"
"Allegion Plc" "ALLE" 126.66 "US" "XNYS"
"Artisan Partners Asset Management, Inc." "APAM" 46.9 "US" "XNYS"
"1Life Healthcare, Inc." "ONEM" 15.42 "US" "XNAS"
"Aurinia Pharmaceuticals, Inc." "AUPH" 18.86 "US" "XNAS"
"Allied Healthcare Products, Inc." "AHPI" 5.36 "US" "XNAS"
"Aluminum Corp. of China Ltd." "ACH" 14.05 "US" "XNYS"
"Aditxt Inc" "ADTX" 0.48 "US" "XNAS"
"Allegiant Travel Co." "ALGT" 178.15 "US" "XNAS"
"Agnico Eagle Mines Ltd." "AEM" 50.15 "CA" NA
"AMMO, Inc." "POWW" 4.97 "US" "XNAS"
"111, Inc." "YI" 2.95 "US" "XNAS"
"Alcon AG" "ALC" 80.48 "AU" NA
"Atmos Energy Corp." "ATO" 105.31 "US" "XNYS"
"Advansix, Inc." "ASIX" 45.57 "US" "XNYS"
"Ardelyx, Inc." "ARDX" 1.01 "US" "XNAS"
"Autodesk, Inc." "ADSK" 262.22 "US" "XNAS"
"AquaBounty Technologies, Inc." "AQB" 2.03 "US" "XNAS"
"Atlantica Sustainable Infrastructure Plc" "AY" 34.11 "US" "XNAS"
"Aptiv Plc" "APTV" 169.48 "US" "XNYS"
"Archrock, Inc." "AROC" 8.19 "US" "XNYS"
"Astria Therapeutics Inc" "ATXS" 5.24 "US" "XNAS"
"Accelerate Diagnostics, Inc." "AXDX" 4.54 "US" "XNAS"
"Ambow Education Holding Ltd." "AMBO" 0.89 "US" "XASE"
"ATAI Life Sciences NV" "ATAI" 6.39 "US" "XNAS"
"AMERISAFE, Inc." "AMSF" 55.29 "US" "XNAS"
"ArcBest Corp." "ARCB" 100.72 "US" "XNAS"
"Arrow Electronics, Inc." "ARW" 132.96 "LN" NA
"Aflac, Inc." "AFL" 62.15 "AU" NA
"Abercrombie & Fitch Co." "ANF" 33.17 "CA" NA
"American Tower Corp." "AMT" 266.57 "AU" NA
"AerSale Corp." "ASLE" 15.76 "US" "XNAS"
"Alphabet, Inc." "GOOG" 2740.74 "US" "XNAS"
"AVEO Pharmaceuticals, Inc." "AVEO" 4.19 "US" "XNAS"
"Agile Therapeutics, Inc." "AGRX" 0.45 "US" "XNAS"
"Artelo Biosciences, Inc." "ARTL" 0.5 "LN" NA
"ADMA Biologics, Inc." "ADMA" 1.34 "US" "XNAS"
"Athira Pharma, Inc." "ATHA" 12.05 "US" "XNAS"
"AutoZone, Inc." "AZO" 2015.01 "US" "XNYS"
"Advanced Drainage Systems, Inc." "WMS" 126.02 "US" "XNYS"
"Antero Resources Corp." "AR" 18.43 "CA" NA
"AgEagle Aerial Systems, Inc." "UAVS" 1.52 "US" "XASE"
"Armstrong Flooring, Inc." "AFI" 2.25 "AU" NA
"Artesian Resources Corp." "ARTNA" 44.65 "US" "XNAS"
"Altimmune, Inc." "ALT" 8.28 "LN" NA
"Acuity Brands, Inc." "AYI" 214.59 "AU" NA
"Abeona Therapeutics, Inc." "ABEO" 0.31 "US" "XNAS"
"Annaly Capital Management, Inc." "NLY" 8.01 "US" "XNYS"
"ADC Therapeutics SA" "ADCT" 19.8 "US" "XNYS"
"AutoWeb, Inc." "AUTO" 3.29 "LN" NA
"ANI Pharmaceuticals, Inc." "ANIP" 43.87 "US" "XNAS"
"American National Group, Inc." "ANAT" 188.91 "US" "XNAS"
"Arthur J. Gallagher & Co." "AJG" 165.38 "LN" NA
"Autolus Therapeutics Plc" "AUTL" 4.66 "US" "XNAS"
"Air Industries Group" "AIRI" 0.92 "US" "XASE"
"Atkore, Inc." "ATKR" 105.29 "US" "XNYS"
"Adobe, Inc." "ADBE" 510.56 "US" "XNAS"
"Auddia, Inc." "AUUD" 1.76 "US" "XNAS"
"Atreca, Inc." "BCEL" 2.63 "US" "XNAS"
"Abcam Plc" "ABCM" 20.95 "US" "XNAS"
"APA Corporation" "APA" 29.67 "AU" NA
"AST Spacemobile, Inc." "ASTS" 7.47 "US" "XNAS"
"Aeglea Biotherapeutics, Inc." "AGLE" 4.29 "US" "XNAS"
"Avantor, Inc." "AVTR" 36.6 "US" "XNYS"
"Actinium Pharmaceuticals, Inc." "ATNM" 6.15 "US" "XASE"
"AlloVir, Inc." "ALVR" 11.54 "US" "XNAS"
"A10 Networks, Inc." "ATEN" 14.94 "US" "XNYS"
"ABB Ltd." "ABB" 38.09 "AU" NA
"AerCap Holdings NV" "AER" 67.73 "AU" NA
"Amesite, Inc." "AMST" 1.06 "US" "XNAS"
"Alpine Immune Sciences, Inc." "ALPN" 10.69 "US" "XNAS"
"ADT, Inc." "ADT" 7.89 "LN" NA
"Atlas Technical Consultants, Inc." "ATCX" 7.97 "US" "XNAS"
"Addus HomeCare Corp." "ADUS" 85.6 "US" "XNAS"
"AMC Entertainment Holdings, Inc." "AMC" 23 "LN" NA
"Angi, Inc." "ANGI" 8.44 "US" "XNAS"
"Ardmore Shipping Corp." "ASC" 3.54 "LN" NA
"Ameresco, Inc." "AMRC" 67.99 "US" "XNYS"
"American Airlines Group, Inc." "AAL" 19.28 "LN" NA
"Agilon Health, Inc." "AGL" 23.25 "LN" NA
"Alta Equipment Group, Inc." "ALTG" 14.64 "US" "XNYS"
"Alpha Teknova, Inc." "TKNO" 17.42 NA NA
"American Electric Power Co., Inc." "AEP" 90.81 "LN" NA
"1stdibs.com, Inc." "DIBS" 11.01 NA NA
"American Well Corp." "AMWL" 4.87 "US" "XNYS"
"Arrow Financial Corp." "AROW" 36.62 "US" "XNAS"
"Arconic Corp." "ARNC" 34.73 "US" "XNYS"
"Apartment Investment & Management Co." "AIV" 7.26 "AU" NA
"Armada Hoffler Properties, Inc." "AHH" 14.98 "US" "XNYS"
"AGM Group Holdings, Inc." "AGMH" 2.44 "US" "XNAS"
"Apollo Investment Corp." "AINV" 13.2 "US" "XNAS"
"4D Pharma Plc" "LBPS" 5.54 "US" "XNAS"
"Athersys, Inc." "ATHX" 0.87 "US" "XNAS"
"Automatic Data Processing, Inc." "ADP" 238.75 "US" "XNAS"
"Alset EHome International, Inc." "AEI" 0.48 "AU" NA
"Allbirds, Inc - Ordinary Shares Class A." "BIRD" 13.95 "LN" NA
"Arvinas, Inc." "ARVN" 69.06 "US" "XNAS"
"Ampio Pharmaceuticals, Inc." "AMPE" 0.53 "US" "XASE"
"Analog Devices, Inc." "ADI" 168.83 "AU" NA
"AptarGroup, Inc." "ATR" 123.64 "LN" NA
"Adaptimmune Therapeutics Plc" "ADAP" 3.5 "US" "XNAS"
"Arbor Realty Trust, Inc." "ABR" 18.75 "AU" NA
"Aurora Cannabis, Inc." "ACB" 5.52 "AU" NA
"AvePoint, Inc." "AVPT" 6.21 NA NA
"Amicus Therapeutics, Inc." "FOLD" 11.41 "US" "XNAS"
"AirNet Technology, Inc." "ANTE" 1.51 "US" "XNAS"
"Advanced Energy Industries, Inc." "AEIS" 89.57 "US" "XNAS"
"Agree Realty Corp." "ADC" 69.17 "US" "XNYS"
"Applied Materials, Inc." "AMAT" 150.72 "LN" NA
"Agilysys, Inc." "AGYS" 43.66 "US" "XNAS"
"Aterian Inc" "ATER" 3.86 "US" "XNAS"
"AGNC Investment Corp." "AGNC" 15.31 "US" "XNAS"
"Angion Biomedica Corp." "ANGN" 2.6 "US" "XNAS"
"ACNB Corp." "ACNB" 33.5 "US" "XNAS"
"aTyr Pharma, Inc." "LIFE" 6.73 "LN" NA
"Argo Blockchain Plc" "ARBK" 11.25 NA NA
"Arch Resources, Inc." "ARCH" 91.64 "CA" NA
"Asure Software, Inc." "ASUR" 7.26 "US" "XNAS"
"Arista Networks, Inc." "ANET" 129.5 "US" "XNYS"
"Ambarella, Inc." "AMBA" 157.6 "US" "XNAS"
"AppHarvest, Inc." "APPH" 4.1 "US" "XNAS"
"Alignment Healthcare, Inc." "ALHC" 10.51 "US" "XNAS"
"Alfi, Inc." "ALF" 1.92 "LN" NA
"Anheuser-Busch InBev SA/NV" "BUD" 62.93 "AU" NA
"AudioEye, Inc." "AEYE" 6.86 "US" "XNAS"
"Agenus, Inc." "AGEN" 2.99 "US" "XNAS"
"ADDvantage Technologies Group, Inc." "AEY" 1.51 "US" "XNAS"
"Atomera, Inc." "ATOM" 17.45 "US" "XNAS"
"Apple, Inc." "AAPL" 172.19 "US" "XNAS"
"Astrotech Corp." "ASTC" 0.69 "US" "XNAS"
"Algonquin Power & Utilities Corp." "AQN" 14.18 "CA" NA
"A. O. Smith Corp." "AOS" 83.17 "US" "XNYS"
"Arena Pharmaceuticals, Inc." "ARNA" 93.16 "US" "XNAS"
"Alto Ingredients, Inc." "ALTO" 5.17 "US" "XNAS"
"AgeX Therapeutics, Inc." "AGE" 1.09 "AU" NA
"Angel Oak Mortgage, Inc." "AOMR" 16.87 "US" "XNYS"
"Agilent Technologies, Inc." "A" 145.15 "CA" NA
"ANSYS, Inc." "ANSS" 361.73 "US" "XNAS"
"Align Technology, Inc." "ALGN" 546.7 "US" "XNAS"
"Akamai Technologies, Inc." "AKAM" 110.51 "US" "XNAS"
"Anebulo Pharmaceuticals, Inc." "ANEB" 6.6 "US" "XNAS"
"Aadi Bioscience Inc" "AADI" 21.8 NA NA
"Alcoa Corp." "AA" 62.37 "CA" NA
"Applied Optoelectronics, Inc." "AAOI" 4.69 "US" "XNAS"
"Alkami Technology, Inc." "ALKT" 17.96 "US" "XNAS"
"Arbutus Biopharma Corp." "ABUS" 3.51 "US" "XNAS"
"Argan, Inc." "AGX" 39.26 "US" "XNYS"
"Assertio Holdings, Inc." "ASRT" 2.71 "US" "XNAS"
"American States Water Co." "AWR" 98.43 "CA" NA
"Appian Corp." "APPN" 60.93 "US" "XNAS"
"APi Group Corp." "APG" 25.51 "AU" NA
"American Financial Group, Inc." "AFG" 137.71 "AU" NA
"Aspen Group, Inc." "ASPU" 2.47 "US" "XNAS"
"ACI Worldwide, Inc." "ACIW" 34.06 "US" "XNAS"
"Albertsons Cos., Inc." "ACI" 31.21 "LN" NA
"Aethlon Medical, Inc." "AEMD" 1.82 "US" "XNAS"
"Arcturus Therapeutics Holdings, Inc." "ARCT" 34.19 "US" "XNAS"
