"company","tikr","price"
"Fuwei Films (Holdings) Co., Ltd.","FFHL",7.93
"Huadi International Group Co. Ltd.","HUDI",29.89
"Euronav NV","EURN",9.15
"Hudson Technologies, Inc.","HDSN",4.06
"Flowserve Corp.","FLS",31.64
"Heron Therapeutics, Inc.","HRTX",8.72
"Fulcrum Therapeutics, Inc.","FULC",15.26
"Exagen, Inc.","XGN",10.6
"Euronet Worldwide, Inc.","EEFT",123.36
"Fortress Biotech, Inc.","FBIO",2.42
"Everspin Technologies, Inc.","MRAM",10.2
"F.N.B. Corp. (Pennsylvania)","FNB",13.72
"Hercules Capital, Inc.","HTGC",17.02
"IBEX Ltd.","IBEX",14.26
"First Capital, Inc.","FCAP",41.44
"FutureFuel Corp.","FF",8.11
"EyePoint Pharmaceuticals, Inc.","EYPT",14.11
"Helmerich & Payne, Inc.","HP",27.79
"Genco Shipping & Trading Ltd.","GNK",15.99
"HEXO Corp.","HEXO",0.67
"FTC Solar, Inc.","FTCI",6.8
"First Merchants Corp. (Indiana)","FRME",45.54
"Ever-Glory International Group, Inc.","EVK",2.36
"Exponent, Inc.","EXPO",103.67
"Franchise Group, Inc.","FRG",52.96
"First Hawaiian, Inc.","FHB",30.53
"Houston American Energy Corp.","HUSA",1.43
"Goodyear Tire & Rubber Co.","GT",21.89
"GH Research Plc","GHRS",18.76
"Farmmi, Inc.","FAMI",0.26
"GrowGeneration Corp.","GRWG",11.13
"Espey Manufacturing & Electronics Corp.","ESP",13.25
"Fusion Fuel Green Plc","HTOO",8.86
"FirstService Corp.","FSV",176.04
"HCA Healthcare, Inc.","HCA",252.14
"Franklin Covey Co.","FC",50.78
"Global Medical REIT, Inc.","GMRE",17.85
"FormFactor, Inc.","FORM",42.28
"Golden Minerals Co.","AUMN",0.34
"Ero Copper Corp.","ERO",14.41
"Humanigen, Inc.","HGEN",3.15
"Evofem Biosciences, Inc.","EVFM",0.38
"Fifth Third Bancorp","FITB",48.81
"Gray Television, Inc.","GTN",21.48
"EZCORP, Inc.","EZPW",7.32
"Huntsman Corp.","HUN",35.78
"Gilead Sciences, Inc.","GILD",71.26
"FinVolution Group","FINV",4.68
"Fiserv, Inc.","FISV",108.85
"Howmet Aerospace, Inc.","HWM",34.01
"Evogene Ltd.","EVGN",1.63
"FirstCash Holdings Inc","FCFS",73.94
"FS KKR Capital Corp.","FSK",21.83
"FIGS, Inc.","FIGS",22.52
"Flanigan's Enterprises, Inc.","BDL",30.24
"First Community Bancshares, Inc. (Virginia)","FCBC",35.48
"Green Dot Corp.","GDOT",36.06
"Hostess Brands, Inc.","TWNK",20.36
"Greenpro Capital Corp.","GRNQ",0.61
"Euroseas Ltd.","ESEA",25.74
"EPR Properties","EPR",48.7
"Essex Property Trust, Inc.","ESS",344.25
"Genius Brands International, Inc.","GNUS",1.09
"Histogen, Inc.","HSTO",0.3
"HNI Corp.","HNI",41.5
"HubSpot, Inc.","HUBS",510.34
"Genetron Holdings Ltd.","GTH",5.21
"Evoqua Water Technologies Corp.","AQUA",42.35
"Gogo, Inc.","GOGO",13.53
"Evaxion Biotech A/S","EVAX",4.34
"ESSA Pharma, Inc.","EPIX",12.55
"Forward Industries, Inc.","FORD",1.65
"Evolus, Inc.","EOLS",6.19
"iHuman, Inc.","IH",2.98
"Huaneng Power International, Inc.","HNP",22.45
"AMTD International, Inc.","HKIB",3.19
"AmeriServ Financial, Inc.","ASRV",3.98
"HudBay Minerals, Inc.","HBM",7.34
"HUYA, Inc.","HUYA",7
"Hut 8 Mining Corp.","HUT",6.61
"IAMGOLD Corp.","IAG",2.79
"Huize Holding Ltd.","HUIZ",1.43
"Huazhu Group Ltd.","HTHT",36.82
"I-Mab","IMAB",40.68
"Hywin Holdings Ltd.","HYW",5.73
"HollySys Automation Technologies Ltd.","HOLI",15.59
"Hailiang Education Group, Inc.","HLG",12.27
"High Tide, Inc.","HITI",4.58
"Honda Motor Co., Ltd.","HMC",29.74
"TC Energy Corp.","TRP",48.8
"Telecom Argentina SA","TEO",5
"Vodafone Group Plc","VOD",15.84
"The Real Brokerage, Inc.","REAX",3.1
"STMicroelectronics NV","STM",49.89
"SunOpta, Inc.","STKL",6.59
"Telefonaktiebolaget LM Ericsson","ERIC",11.05
"Titan Medical, Inc.","TMDI",0.62
"Taboola.com Ltd.","TBLA",6.72
"Vision Marine Technologies, Inc.","VMAR",4.84
"SoFi Technologies, Inc.","SOFI",13.72
"UBS Group AG","UBS",19.35
"Taseko Mines Ltd.","TGB",2.06
"TFI International, Inc.","TFII",102.81
"Thomson Reuters Corp.","TRI",112.68
"Telefonica Brasil SA","VIV",8.28
"Vasta Platform Ltd.","VSTA",4.03
"Suzano SA","SUZ",10.54
"The Bank of Nova Scotia","BNS",72.42
"The Lion Electric Co.","LEV",9.69
"TD Holdings, Inc.","GLG",0.35
"Teekay Tankers Ltd.","TNK",11.71
"UnitedHealth Group, Inc.","UNH",458.39
"TDH Holdings, Inc.","PETZ",4.11
"Suncor Energy, Inc.","SU",26.55
"Sun Life Financial, Inc.","SLF",56.09
"The Hackett Group, Inc.","HCKT",20.14
"VectivBio Holding AG","VECT",4.91
"TIM SA (Brazil)","TIMB",11.01
"TELUS International (CDA), Inc.","TIXT",30.13
"Vipshop Holdings Ltd.","VIPS",8.91
"trivago NV","TRVG",2.27
"Vicinity Motor Corp.","VEV",3.65
"Wheaton Precious Metals Corp.","WPM",38.56
"TELUS Corp.","TU",23.45
"TE Connectivity Ltd.","TEL",158.49
"Teck Resources Ltd.","TECK",30.42
"The Descartes Systems Group, Inc.","DSGX",75.15
"Tanzanian Gold Corp.","TRX",0.41
"China Xiangtai Food Co., Ltd.","PLIN",1.13
"CGI, Inc.","GIB",84.07
"Cassava Sciences, Inc.","SAVA",47.88
"Chipotle Mexican Grill, Inc.","CMG",1597.33
"Cenovus Energy, Inc.","CVE",13.71
"Chindata Group Holdings Ltd.","CD",5.68
"Centerra Gold, Inc.","CGAU",8.1
"China Pharma Holdings, Inc.","CPHI",0.41
"CI Financial Corp.","CIXX",20.96
"Centrais Elétricas Brasileiras SA","EBR",5.4
"Central Puerto SA","CEPU",3.09
"Carnival Plc","CUK",20.18
"Celyad Oncology SA","CYAD",3.85
"China Online Education Group","COE",1.12
"China HGS Real Estate, Inc.","HGSH",3.47
"China Eastern Airlines Corp. Ltd.","CEA",19.19
"Cheetah Mobile, Inc.","CMCM",1.29
"China Automotive Systems, Inc.","CAAS",2.65
"China Finance Online Co., Ltd.","JRJC",6.5
"China Liberal Education Holdings Ltd.","CLEU",1.29
"Celestica, Inc.","CLS",11.09
"China Recycling Energy Corp.","CREG",6.4
"China Green Agriculture, Inc.","CGA",9.27
"China Index Holdings Ltd.","CIH",1
"Chubb Ltd.","CB",201.16
"Centrais Elétricas Brasileiras SA","EBR/B",5.35
"Novartis AG","NVS",89.31
"Ryanair Holdings Plc","RYAAY",116.08
"Rio Tinto Plc","RIO",72.24
"Puhui Wealth Investment Management Co. Ltd.","PHCF",1.5
"Royal Bank of Canada","RY",112.13
"Pretium Resources, Inc.","PVG",14.1
"Restaurant Brands International, Inc.","QSR",58.3
"Sierra Wireless, Inc.","SWIR",16.92
"Sandstorm Gold Ltd.","SAND",5.64
"Opthea Ltd.","OPT",7.59
"Royal Dutch Shell Plc","RDS/B",47.32
"Sierra Oncology, Inc.","SRRA",21.96
"North American Construction Group Ltd.","NOA",15.07
"Royal Caribbean Group","RCL",81.01
"Puyi, Inc.","PUYI",6.94
"Ritchie Bros. Auctioneers, Inc.","RBA",59.79
"Royal Dutch Shell Plc","RDS/A",47.28
"Puxin Ltd.","NEW",0.35
"Qudian Inc.","QD",1.02
"Repare Therapeutics, Inc.","RPTX",16.7
"Nutrien Ltd.","NTR",69.14
"PyroGenesis Canada, Inc.","PYR",2.75
"Osisko Gold Royalties Ltd.","OR",11.25
"Purple Biotech Ltd.","PPBT",4.15
"Onion Global Ltd.","OG",2.2
"Sierra Metals, Inc.","SMTS",1.3
"Resolute Forest Products, Inc.","RFP",15.14
"Rogers Communications, Inc.","RCI",48.75
"Quotient Ltd.","QTNT",2.19
"Profound Medical Corp.","PROF",10.5
"Precision Drilling Corp.","PDS",41.39
"Oriental Culture Holding Ltd.","OCG",5.21
"CN Energy Group, Inc.","CNEY",2.5
"Eneti, Inc.","NETI",7.72
"Magna International, Inc.","MGA",85.59
"Milestone Pharmaceuticals, Inc.","MIST",7.1
"Mogu, Inc.","MOGU",0.37
"Metalla Royalty & Streaming Ltd.","MTA",6.44
"Peraso Inc","PRSO",3.75
"Logitech International SA","LOGI",80.94
"Cenntro Electric Group Limited","NAKD",3.95
"Manulife Financial Corp.","MFC",20.2
"monday.com Ltd.","MNDY",237.38
"Lloyds Banking Group Plc","LYG",2.85
"Moxian (BVI), Inc.","MOXC",2.92
"Medicenna Therapeutics Corp.","MDNA",1.87
"Liquid Media Group Ltd.","YVR",1.01
"Newegg Commerce, Inc.","NEGG",8.86
"Maverix Metals, Inc.","MMX",4.09
"Mdjm Ltd.","MDJH",1.72
"Meten Holding Group Ltd.","METX",0.23
"Mind Medicine (MindMed), Inc.","MNMD",1.23
"Liminal BioSciences, Inc.","LMNL",1.12
"Mesoblast Ltd.","MESO",4.65
"MAG Silver Corp.","MAG",14.65
"Lizhi, Inc.","LIZI",1.62
"Mercurity Fintech Holding, Inc.","MFH",2.74
"Loma Negra Compañía Industrial Argentina SA","LOMA",6.46
"Main Street Capital Corp.","MAIN",44.41
"MMTec, Inc.","MTC",0.6
"Luokung Technology Corp.","LKCO",0.61
"Mogo, Inc.","MOGO",2.92
"MercadoLibre, Inc.","MELI",1085.68
"MINISO Group Holding Ltd.","MNSO",10.48
"Loop Industries, Inc.","LOOP",11.56
"Mercer International, Inc.","MERC",12.08
"MedAvail Holdings, Inc.","MDVL",1.28
"Materialise NV","MTLS",22.06
"Lixiang Education Holding Co., Ltd.","LXEH",10.2
"Methanex Corp.","MEOH",43.56
"Molecular Data, Inc.","MKD",0.21
"Lufax Holding Ltd.","LU",5.37
"Molecular Partners AG","MOLN",16.66
"Hexcel Corp.","HXL",54.7
"GEE Group, Inc.","JOB",0.59
"ICON plc","ICLR",280.25
"Envela Corp.","ELA",4.14
"Fidus Investment Corp.","FDUS",17.83
"Galapagos NV","GLPG",51.76
"Gap, Inc.","GPS",18.13
"First Industrial Realty Trust, Inc.","FR",61.47
"Hall of Fame Resort & Entertainment Co.","HOFV",1.58
"Ideanomics, Inc.","IDEX",1.19
"First US Bancshares, Inc.","FUSB",10.58
"Great Ajax Corp.","AJX",13.31
"Floor & Decor Holdings, Inc.","FND",114.5
"Healthpeak Properties, Inc.","PEAK",35.96
"iHeartMedia, Inc.","IHRT",20.65
"Franklin Street Properties Corp.","FSP",6.11
"Hilton Grand Vacations, Inc.","HGV",54.3
"Gossamer Bio, Inc.","GOSS",12
"Hormel Foods Corp.","HRL",49.84
"Eton Pharmaceuticals, Inc.","ETON",4.25
"Equity LifeStyle Properties, Inc.","ELS",81
"GoodRx Holdings, Inc.","GDRX",26.36
"FedNat Holding Co.","FNHC",1.5
"Hasbro, Inc.","HAS",102.76
"Greenbrook Tms, Inc.","GBNH",3.94
"Equinix, Inc.","EQIX",774.43
"Equity Bancshares, Inc.","EQBK",34.68
"First Advantage Corp.","FA",18
"G1 Therapeutics, Inc.","GTHX",9.68
"Harmonic, Inc.","HLIT",11.19
"First Majestic Silver Corp.","AG",10.32
"Gracell Biotechnologies Inc.","GRCL",4.73
"GeoVax Labs, Inc.","GOVX",3.53
"Farmers & Merchants Bancorp, Inc. (Ohio)","FMAO",32.85
"FedEx Corp.","FDX",263.98
"Globalstar, Inc.","GSAT",1.07
"Forestar Group Inc.","FOR",20.17
"Genworth Financial, Inc.","GNW",4.26
"First Citizens BancShares, Inc. (North Carolina)","FCNCA",905.91
"G. Willi Food International Ltd.","WILC",19.43
"Fusion Pharmaceuticals, Inc.","FUSN",4.71
"F-star Therapeutics, Inc.","FSTX",4.82
"Flowers Foods, Inc.","FLO",28.03
"FARO Technologies, Inc.","FARO",63.63
"Global-e Online Ltd.","GLBE",50.45
"FFBW, Inc.","FFBW",11.65
"Gannett Co., Inc.","GCI",5.05
"Etsy, Inc.","ETSY",185.16
"GameStop Corp.","GME",140.55
"Freeport-McMoRan, Inc.","FCX",41.89
"Everbridge, Inc.","EVBG",59.92
"Guardant Health, Inc.","GH",87.84
"Home Bancshares, Inc. (Arkansas)","HOMB",25.78
"Flexible Solutions International, Inc.","FSI",3.55
"Groupon, Inc.","GRPN",23.65
"Genmab A/S","GMAB",36.28
"Galmed Pharmaceuticals Ltd.","GLMD",1.9
"First National Corp. (Virginia)","FXNC",22.75
"Fluent, Inc.","FLNT",1.95
"Hilltop Holdings, Inc.","HTH",37.3
"Grupo Televisa SAB","TV",10
"Fossil Group, Inc.","FOSL",10.45
"Evergy, Inc.","EVRG",67.54
"EOG Resources, Inc.","EOG",98.17
"Four Corners Property Trust, Inc.","FCPT",28.47
"Gaming & Leisure Properties, Inc.","GLPI",46.59
"GoldMining, Inc.","GLDG",1.47
"IDEX Corp.","IEX",227.73
"Exela Technologies, Inc.","XELA",0.7
"Hilton Worldwide Holdings, Inc.","HLT",151.99
"Escalade, Inc.","ESCA",16.56
"Hersha Hospitality Trust","HT",9.78
"Evolution Petroleum Corp.","EPM",5.41
"Global Blue Group Holding AG","GB",6.78
"EZGO Technologies Ltd.","EZGO",1.33
"First Mid Bancshares, Inc.","FMBH",44.68
"Excellon Resources, Inc.","EXN",0.93
"Five9, Inc.","FIVN",133.98
"Ferrari NV","RACE",257.01
"FreightCar America, Inc.","RAIL",4.01
"Five Star Senior Living, Inc.","FVE",3.08
"Gladstone Land Corp.","LAND",32.08
"Hertz Global Holdings, Inc.","HTZ",24.32
"Fluor Corp.","FLR",23.83
"Highway Holdings Ltd.","HIHO",3.85
"First Bank (Williamstown, New Jersey)","FRBA",14.83
"Four Seasons Education (Cayman), Inc.","FEDU",0.68
"Forward Air Corp.","FWRD",114.37
"First Community Corp. (South Carolina)","FCCO",21.15
"Graco, Inc.","GGG",77.06
"Humana, Inc.","HUM",363.46
"EXACT Sciences Corp.","EXAS",75.68
"Ferguson Plc","FERG",174.06
"Hewlett-Packard Enterprise Co.","HPE",17.13
"Exxon Mobil Corp.","XOM",68.88
"Equitrans Midstream Corp.","ETRN",10.36
"Eversource Energy","ES",89.66
"Frontline Ltd.","FRO",7.48
"Globe Life, Inc.","GL",100.7
"Five Below, Inc.","FIVE",186
"First Seacoast Bancorp","FSEA",10.62
"Eqonex Ltd.","EQOS",1.94
"First Commonwealth Financial Corp. (Pennsylvania)","FCF",17.24
"Kiora Pharmaceuticals Inc","KPRX",1.01
"Foghorn Therapeutics, Inc.","FHTX",18.09
"Horizon Therapeutics Plc","HZNP",98.14
"Forte Biosciences, Inc.","FBRX",1.88
"Frequency Therapeutics, Inc.","FREQ",5.49
"Exterran Corp.","EXTN",3.47
"Eos Energy Enterprises, Inc.","EOSE",6.51
"Huntington Bancshares, Inc.","HBAN",17.23
"Equillium, Inc.","EQ",3.47
"Helen of Troy Ltd.","HELE",231.95
"Idera Pharmaceuticals, Inc.","IDRA",0.62
"Full Truck Alliance Co., Ltd.","YMM",8.29
"Fortuna Silver Mines, Inc.","FSM",3.61
"Green Plains, Inc.","GPRE",35.91
"G Medical Innovations Holdings Ltd.","GMVD",2.26
"Forward Pharma A/S","FWP",5.95
"Gildan Activewear, Inc.","GIL",41.61
"Five Star Bancorp","FSBC",31.35
"First Guaranty Bancshares, Inc.","FGBI",20.25
"GAN Ltd.","GAN",8.49
"Fair Isaac Corp.","FICO",440.05
"FuelCell Energy, Inc.","FCEL",5.1
"Equity Commonwealth","EQC",26.67
"First Savings Financial Group, Inc.","FSFG",26.6
"GrafTech International Ltd.","EAF",11.82
"Genuine Parts Co.","GPC",138.94
"Gold Resource Corp.","GORO",1.52
"Frontier Communications Parent, Inc.","FYBR",29.98
"Fidelity National Information Services, Inc.","FIS",117.67
"IDEXX Laboratories, Inc.","IDXX",550.03
"Expeditors International of Washington, Inc.","EXPD",128.15
"Fortive Corp.","FTV",71.95
"Expedia Group, Inc.","EXPE",179.88
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.","HASI",49.01
"Gartner, Inc.","IT",299.15
"Hawaiian Electric Industries, Inc.","HE",42.74
"Global Cord Blood Corp.","CO",4.51
"Equinor ASA","EQNR",27.83
"HSBC Holdings Plc","HSBC",32.74
"Essential Utilities, Inc.","WTRG",52.18
"Genius Sports Ltd.","GENI",7.32
"Eurodry Ltd.","EDRY",19.19
"HMG/Courtland Properties, Inc.","HMG",23.5
"Globus Medical, Inc.","GMED",71.55
"Fox Factory Holding Corp.","FOXF",159.58
"First Eagle Alternative Capital BDC, Inc.","FCRD",4.7
"IAA, Inc.","IAA",49.47
"Gold Royalty Corp.","GROY",4.76
"FirstEnergy Corp.","FE",41.4
"FLEX LNG Ltd.","FLNG",21.9
"Fulgent Genetics, Inc.","FLGT",81.22
"First United Corp.","FUNC",19.64
"Focus Financial Partners, Inc.","FOCS",56.66
"Fomento Economico Mexicano SAB de CV","FMX",79.6
"Essent Group Ltd.","ESNT",47.72
"fuboTV, Inc.","FUBO",13.97
"Hanesbrands, Inc.","HBI",16.87
"Gevo, Inc.","GEVO",4.17
"First Business Financial Services, Inc.","FBIZ",30.41
"Envista Holdings Corp.","NVST",44.42
"EQT Corp.","EQT",22.8
"Falcon Minerals Corp.","FLMN",5.36
"EVI Industries, Inc.","EVI",30
"Healthcare Services Group, Inc.","HCSG",17.67
"FTI Consulting, Inc.","FCN",148.57
"Federal Signal Corp.","FSS",41.93
"iClick Interactive Asia Group Ltd.","ICLK",4.34
"Fangdd Network Group Ltd.","DUO",0.37
"Fox Corp.","FOX",36.01
"Golden Star Resources Ltd.","GSS",3.86
"Galecto, Inc.","GLTO",2.94
"Hallador Energy Co.","HNRG",2.5
"Evans Bancorp, Inc.","EVBN",40.79
"Gitlab, Inc.","GTLB",70.66
"Full House Resorts, Inc.","FLL",10.65
"Green Brick Partners, Inc.","GRBK",25.79
"Forian, Inc.","FORA",7.93
"Fate Therapeutics, Inc.","FATE",48.34
"General Electric Co.","GE",101.4
"Finance of America Cos., Inc.","FOA",4.07
"ESCO Technologies, Inc.","ESE",88.04
"Farfetch Ltd.","FTCH",29.39
"Herbalife Nutrition Ltd.","HLF",43.28
"Halozyme Therapeutics, Inc.","HALO",37.29
"Houghton Mifflin Harcourt Co.","HMHC",15.23
"eXp World Holdings, Inc.","EXPI",28.46
"Hyliion Holdings Corp.","HYLN",5.8
"Fiverr International Ltd.","FVRR",98.61
"General Mills, Inc.","GIS",68.55
"Flywire Corp","FLYW",33.08
"Futu Holdings Ltd.","FUTU",41.96
"Golden Nugget Online Gaming, Inc.","GNOG",9.92
"Harbor Custom Development, Inc.","HCDI",2.4
"HealthEquity, Inc.","HQY",45.38
"FONAR Corp.","FONR",15.65
"First Northwest Bancorp (Washington)","FNWB",20.33
"Erasca, Inc.","ERAS",12.92
"Gatos Silver, Inc.","GATO",9.57
"Fidelity National Financial, Inc.","FNF",53.26
"Global Ship Lease, Inc.","GSL",22.65
"Franklin Wireless Corp.","FKWL",4.54
"Garmin Ltd.","GRMN",130.94
"Grupo SIMEC SAB de CV","SIM",24.8
"Fidelity D&D Bancorp, Inc.","FDBC",52.92
"Franco-Nevada Corp.","FNV",127.31
"FS Bancorp, Inc.","FSBW",35.04
"First Republic Bank (San Francisco, California)","FRC",204.1
"Fresh Del Monte Produce, Inc.","FDP",29.06
"Golden Ocean Group Ltd.","GOGL",9.88
"Gladstone Commercial Corp.","GOOD",24.77
"Global Internet of People, Inc.","SDH",1.27
"GoDaddy, Inc.","GDDY",76.82
"FSD Pharma, Inc.","HUGE",1.03
"Granite Point Mortgage Trust, Inc.","GPMT",11.86
"Graphic Packaging Holding Co.","GPK",19.73
"Hess Corp.","HES",86.65
"Femasys, Inc.","FEMY",3.29
"Gritstone Bio Inc.","GRTS",6.45
"Farmer Brothers Co.","FARM",7.56
"Hawaiian Holdings, Inc.","HA",19.76
"Globus Maritime Ltd.","GLBS",2.15
"Enveric Biosciences, Inc.","ENVB",0.84
"Everi Holdings, Inc.","EVRI",20.2
"iBio, Inc.","IBIO",0.52
"Erie Indemnity Co.","ERIE",194.6
"Genprex, Inc.","GNPX",2.23
"Epsilon Energy Ltd.","EPSN",5.64
"Getty Realty Corp.","GTY",31.41
"Gentex Corp.","GNTX",35.18
"FAT Brands, Inc.","FAT",11
"Franklin Financial Services Corp. (Pennsylvania)","FRAF",33.43
"Hope Bancorp, Inc.","HOPE",16.13
"Global Blood Therapeutics, Inc.","GBT",28.64
"Fortune Brands Home & Security, Inc.","FBHS",101.3
"Esperion Therapeutics, Inc.","ESPR",4.14
"Genpact Ltd.","G",52.3
"Fanhua, Inc.","FANH",7.4
"FLEETCOR Technologies, Inc.","FLT",243.11
"FREYR Battery SA","FREY",9.78
"Eventbrite, Inc.","EB",16.9
"Healthcare Trust of America, Inc.","HTA",33.08
"IDEX Biometrics ASA","IDBA",25.66
"GreenSky, Inc.","GSKY",11.85
"General Motors Co.","GM",62.27
"Evelo Biosciences, Inc.","EVLO",5.98
"Flushing Financial Corp.","FFIC",25.57
"H&R Block, Inc.","HRB",23.26
"Frequency Electronics, Inc.","FEIM",9.44
"Finch Therapeutics Group, Inc.","FNCH",9.32
"Ferro Corp.","FOE",21.8
"First Bancorp (North Carolina)","FBNC",48.3
"ERYTech Pharma SA","ERYP",2.32
"Financial Institutions, Inc.","FISI",33.7
"Genfit SA","GNFT",4.84
"GOL Linhas Aéreas Inteligentes SA","GOL",5.68
"GBS Inc. (New York)","GBS",1.57
"Ideal Power, Inc.","IPWR",10.26
"Farmland Partners, Inc.","FPI",11.68
"Glory Star New Media Group Holdings Ltd.","GSMG",1.15
"Farmers National Banc Corp.","FMNB",19.67
"Essential Properties Realty Trust, Inc.","EPRT",28.32
"GoPro, Inc.","GPRO",10.67
"FMC Corp.","FMC",108.2
"First Busey Corp.","BUSE",29.47
"Fiesta Restaurant Group, Inc.","FRGI",10.76
"Federal Agricultural Mortgage Corp.","AGM/A",119
"Hyatt Hotels Corp.","H",96.89
"eSports Technologies, Inc.","EBET",17.39
"Federal Agricultural Mortgage Corp.","AGM",127.83
"Extreme Networks, Inc.","EXTR",14.25
"Evercore, Inc.","EVR",137.04
"EPAM Systems, Inc.","EPAM",556.66
"Express, Inc.","EXPR",3.05
"ICL Group Ltd.","ICL",10.41
"GDS Holdings Ltd.","GDS",42.85
"Franklin Electric Co., Inc.","FELE",91.67
"GLOBALFOUNDRIES, Inc.","GFS",60.02
"Funko, Inc.","FNKO",18.41
"Fortinet, Inc.","FTNT",314.44
"HollyFrontier Corp.","HFC",33.65
"GreenTree Hospitality Group Ltd.","GHG",8.55
"FTS International, Inc.","FTSI",26.35
"Flotek Industries, Inc.","FTK",1.08
"Fox Corp.","FOXA",39.04
"Hudson Pacific Properties, Inc.","HPP",27.09
"Envestnet, Inc.","ENV",77.87
"H.B. Fuller Co.","FUL",76.74
"FlexShopper, Inc.","FPAY",2.18
"Hecla Mining Co.","HL",4.87
"Halliburton Co.","HAL",26.02
"Fortis, Inc.","FTS",46.52
"Gran Tierra Energy, Inc.","GTE",0.81
"Illinois Tool Works, Inc.","ITW",246.05
"Global Payments, Inc.","GPN",150.14
"Heat Biologics, Inc.","HTBX",3.1
"Evolving Systems, Inc.","EVOL",2.24
"Grupo Financiero Galicia SA","GGAL",9.38
"FactSet Research Systems, Inc.","FDS",441.62
"Highwoods Properties, Inc.","HIW",46.87
"Gates Industrial Corp. Plc","GTES",16.38
"HP, Inc.","HPQ",38.65
"Flex Ltd.","FLEX",17.45
"Future FinTech Group, Inc.","FTFT",1.15
"Ford Motor Co.","F",24.43
"Freshworks, Inc.","FRSH",22.79
"Henry Schein, Inc.","HSIC",78.94
"Host Hotels & Resorts, Inc.","HST",18.21
"Honeywell International, Inc.","HON",215.75
"Gamida Cell Ltd.","GMDA",2.28
"Equinox Gold Corp.","EQX",6.43
"FNCB Bancorp, Inc.","FNCB",9.1
"Evoke Pharma, Inc.","EVOK",0.56
"Federated Hermes, Inc.","FHI",39.18
"FVCBankcorp, Inc.","FVCB",19.95
"Global Net Lease, Inc.","GNL",15.63
"Gaotu Techedu, Inc.","GOTU",1.64
"Gulf Resources, Inc.","GURE",4.25
"Exelixis, Inc.","EXEL",18.76
"Gilat Satellite Networks Ltd.","GILT",8.1
"Formula Systems (1985) Ltd.","FORTY",120.99
"Fennec Pharmaceuticals, Inc.","FENC",4.53
"GlycoMimetics, Inc.","GLYC",1.39
"Fisker Inc - Ordinary Shares - Class A","FSR",16.24
"Eros STX Global Corp.","ESGC",0.26
"Epizyme, Inc.","EPZM",2.25
"First Horizon Corp. (Tennessee)","FHN",18.38
"Eyenovia, Inc.","EYEN",3.62
"Foresight Autonomous Holdings Ltd.","FRSX",1.67
"Genetic Technologies Ltd.","GENE",1.89
"HyreCar, Inc.","HYRE",3.88
"Guess?, Inc.","GES",22.6
"Galiano Gold, Inc.","GAU",0.67
"FB Financial Corp.","FBK",46.45
"Fulton Financial Corp.","FULT",18.28
"First Financial Northwest, Inc.","FFNW",16.83
"General Dynamics Corp.","GD",212.06
"First Internet Bancorp","INBK",51.49
"II-VI, Inc.","IIVI",71.83
"Extra Space Storage, Inc.","EXR",208.42
"First American Financial Corp.","FAF",77.48
"Foot Locker, Inc.","FL",42.06
"Fastenal Co.","FAST",60.61
"Gerdau SA","GGB",4.86
"GreenPower Motor Co., Inc.","GP",7.79
"Frontdoor, Inc.","FTDR",37.07
"Geron Corp.","GERN",1.18
"Forrester Research, Inc.","FORR",57.02
"Equity Residential","EQR",89.64
"Equifax, Inc.","EFX",267.57
"GFL Environmental, Inc.","GFL",35.29
"Hologic, Inc.","HOLX",70.35
"EverQuote, Inc.","EVER",15.03
"First Foundation, Inc.","FFWM",26.79
"Generac Holdings, Inc.","GNRC",316.55
"Gold Standard Ventures Corp.","GSV",0.43
"EVO Payments, Inc.","EVOP",25.16
"Fuel Tech, Inc.","FTEK",1.32
"Grocery Outlet Holding Corp.","GO",27.91
"Friedman Industries, Inc.","FRD",10.8
"Fury Gold Mines Ltd.","FURY",0.65
"Greenlane Holdings, Inc.","GNLN",0.93
"Euro Tech Holdings Co. Ltd.","CLWT",2.87
"Evolent Health, Inc.","EVH",23.06
"ESSA Bancorp, Inc.","ESSA",17.3
"Equitable Holdings, Inc.","EQH",35.5
"FG Financial Group, Inc.","FGF",3.64
"EVgo, Inc.","EVGO",9.5
"Fastly, Inc.","FSLY",33.03
"Global Self Storage, Inc.","SELF",5.72
"EverCommerce, Inc.","EVCM",13.58
"Grupo Aeroportuario del Pacífico SAB de CV","PAC",141.62
"Garrett Motion, Inc.","GTX",7.87
"Enzo Biochem, Inc.","ENZ",3.18
"ePlus, Inc.","PLUS",51.98
"Helix Energy Solutions Group, Inc.","HLX",3.63
"First Solar, Inc.","FSLR",84.61
"Firsthand Technology Value Fund, Inc.","SVVC",4.15
"Freshpet Inc.","FRPT",89.07
"Ferroglobe PLC","GSM",5.61
"Harley-Davidson, Inc.","HOG",39.73
"Hoth Therapeutics, Inc.","HOTH",0.95
"Tivity Health, Inc.","TVTY",24.79
"SPI Energy Co. Ltd.","SPI",3.42
"Waitr Holdings, Inc.","WTRH",0.64
"Viking Therapeutics, Inc.","VKTX",4.21
"Stitch Fix, Inc.","SFIX",19.01
"vTv Therapeutics, Inc.","VTVT",0.91
"Vista Outdoor, Inc.","VSTO",46.83
"Upwork, Inc.","UPWK",29.5
"Ultra Clean Holdings, Inc.","UCTT",54
"Verastem, Inc.","VSTM",1.9
"Sonida Senior Living Inc","SNDA",27.5
