"company","tikr","price"
"Adagene, Inc.","ADAG",8.75
"Amryt Pharma Plc","AMYT",10.78
"Astrazeneca plc - ADR","AZN",57.5
"AIkido Pharma, Inc.","AIKI",0.57
"Associated Capital Group, Inc.","AC",43.3
"Asbury Automotive Group, Inc.","ABG",175.19
"Air T, Inc.","AIRT",25.27
"Atea Pharmaceuticals, Inc.","AVIR",7.63
"Atrion Corp.","ATRI",675
"AmpliTech Group, Inc.","AMPG",3.66
"Akari Therapeutics Plc","AKTX",1.45
"ATA Creativity Global","AACG",2.64
"Aptevo Therapeutics, Inc.","APVO",7.37
"Altair Engineering, Inc.","ALTR",67.57
"Asana, Inc.","ASAN",61.2
"Acorda Therapeutics, Inc.","ACOR",2.29
"Alnylam Pharmaceuticals, Inc.","ALNY",148.34
"Aileron Therapeutics, Inc.","ALRN",0.5
"Americold Realty Trust, Inc.","COLD",30.99
"BitNile Holdings Inc.","NILE",1.14
"Aesthetic Medical International Holdings Group Ltd.","AIH",3.61
"American Realty Investors, Inc.","ARL",12.98
"Agiliti, Inc. (Minnesota)","AGTI",20.33
"Ares Management Corp.","ARES",74.99
"ATN International, Inc.","ATNI",41.77
"Advanced Emissions Solutions, Inc.","ADES",7.13
"Amkor Technology, Inc.","AMKR",23.72
"Affimed NV","AFMD",4.83
"American Woodmark Corp.","AMWD",62.6
"Amphenol Corp.","APH",82.13
"AnaptysBio, Inc.","ANAB",32.88
"AnPac Bio-Medical Science Co. Ltd.","ANPC",1.19
"Allegheny Technologies, Inc.","ATI",18.27
"Astec Industries, Inc.","ASTE",71.69
"American Eagle Outfitters, Inc.","AEO",23.95
"Acumen Pharmaceuticals, Inc.","ABOS",5.75
"Ames National Corp.","ATLO",24.74
"AbCellera Biologics, Inc.","ABCL",11.81
"Aridis Pharmaceuticals, Inc.","ARDS",1.72
"American Water Works Co., Inc.","AWK",173.51
"Aerovate Therapeutics, Inc.","AVTE",10.11
"Amphastar Pharmaceuticals, Inc.","AMPH",25.05
"Aprea Therapeutics, Inc.","APRE",2.79
"Arcutis Biotherapeutics, Inc.","ARQT",18.74
"Aptose Biosciences, Inc.","APTO",1.38
"Allegion Plc","ALLE",126.66
"Artisan Partners Asset Management, Inc.","APAM",46.9
"1Life Healthcare, Inc.","ONEM",15.42
"Aurinia Pharmaceuticals, Inc.","AUPH",18.86
"Allied Healthcare Products, Inc.","AHPI",5.36
"Aluminum Corp. of China Ltd.","ACH",14.05
"Aditxt Inc","ADTX",0.48
"Allegiant Travel Co.","ALGT",178.15
"Agnico Eagle Mines Ltd.","AEM",50.15
"AMMO, Inc.","POWW",4.97
"111, Inc.","YI",2.95
"Alcon AG","ALC",80.48
"Atmos Energy Corp.","ATO",105.31
"Advansix, Inc.","ASIX",45.57
"Ardelyx, Inc.","ARDX",1.01
"Autodesk, Inc.","ADSK",262.22
"AquaBounty Technologies, Inc.","AQB",2.03
"Atlantica Sustainable Infrastructure Plc","AY",34.11
"Aptiv Plc","APTV",169.48
"Archrock, Inc.","AROC",8.19
"Astria Therapeutics Inc","ATXS",5.24
"Accelerate Diagnostics, Inc.","AXDX",4.54
"Ambow Education Holding Ltd.","AMBO",0.89
"ATAI Life Sciences NV","ATAI",6.39
