"","company","tikr","price"
"562","Apollo Commercial Real Estate Finance, Inc.","ARI",13.71
"563","Acadia Healthcare Co., Inc.","ACHC",56.42
"564","Applied DNA Sciences, Inc.","APDN",4.12
"565","Allot Ltd.","ALLT",12.25
"566","Aegon NV","AEG",5.55
"567","Æterna Zentaris, Inc.","AEZS",0.38
"568","Advantage Solutions, Inc. (California)","ADV",7.32
"569","ARCA biopharma, Inc.","ABIO",2.04
"570","1st Source Corp.","SRCE",52.42
"571","Ambac Financial Group, Inc.","AMBC",15.85
"572","American Virtual Cloud Technologies, Inc.","AVCT",2.32
"573","Allegiance Bancshares, Inc. (Texas)","ABTX",43.86
"574","Akumin, Inc.","AKU",1.63
"575","8x8, Inc.","EGHT",16.63
"576","1-800-FLOWERS.COM, Inc.","FLWS",24.25
"577","Avangrid, Inc.","AGR",50.09
"578","AmerisourceBergen Corp.","ABC",133.12
"579","Audacy Inc - Ordinary Shares - Class A","AUD",2.46
"580","Atara Biotherapeutics, Inc.","ATRA",15.72
"581","AppFolio, Inc.","APPF",118.77
"582","Acasti Pharma, Inc.","ACST",1.29
"583","First Financial Bancorp (Ohio)","FFBC",26.49
"584","Grupo Aeroportuario del Sureste SA de CV","ASR",211.71
"585","Forum Energy Technologies, Inc.","FET",17.87
"586","First Interstate BancSystem, Inc. (Montana)","FIBK",44.54
"587","First Western Financial, Inc.","MYFW",31.68
"588","Fluidigm Corp.","FLDM",3.18
"589","GXO Logistics Inc","GXO",83.39
"590","Flexsteel Industries, Inc.","FLXS",28.28
"591","Grupo Supervielle SA","SUPV",1.99
"592","Freedom Holding Corp.","FRHC",67.58
"593","First Financial Bankshares, Inc.","FFIN",52.78
"594","FibroGen, Inc.","FGEN",13.55
"595","First High-School Education Group Co., Ltd.","FHS",1.72
"596","Franklin Resources, Inc.","BEN",35.17
"597","Freeline Therapeutics Holdings Plc","FRLN",1.73
"598","GoHealth, Inc.","GOCO",2.97
"599","First Midwest Bancorp, Inc. (Illinois)","FMBI",22.04
"600","First Financial Corp. (Indiana)","THFF",45.9
"601","Hepion Pharmaceuticals, Inc.","HEPA",1.25
"602","Exelon Corp.","EXC",56.63
"603","Hutchmed (China) Ltd.","HCM",33.1
"604","Healthcare Realty Trust, Inc.","HR",31.46
"605","F5 Networks, Inc.","FFIV",232.13
"606","Fresenius Medical Care AG & Co. KGaA","FMS",32.44
"607","GlaxoSmithKline Plc","GSK",43.85
"608","Equus Total Return Fund","EQS",2.36
"609","Exicure, Inc.","XCUR",0.2
"610","Fuwei Films (Holdings) Co., Ltd.","FFHL",7.93
"611","Huadi International Group Co. Ltd.","HUDI",29.89
"612","Euronav NV","EURN",9.15
"613","Hudson Technologies, Inc.","HDSN",4.06
"614","Flowserve Corp.","FLS",31.64
"615","Heron Therapeutics, Inc.","HRTX",8.72
"616","Fulcrum Therapeutics, Inc.","FULC",15.26
"617","Exagen, Inc.","XGN",10.6
"618","Euronet Worldwide, Inc.","EEFT",123.36
"619","Fortress Biotech, Inc.","FBIO",2.42
"620","Everspin Technologies, Inc.","MRAM",10.2
"621","F.N.B. Corp. (Pennsylvania)","FNB",13.72
"622","Hercules Capital, Inc.","HTGC",17.02
"623","IBEX Ltd.","IBEX",14.26
"624","First Capital, Inc.","FCAP",41.44
"625","FutureFuel Corp.","FF",8.11
"626","EyePoint Pharmaceuticals, Inc.","EYPT",14.11
"627","Helmerich & Payne, Inc.","HP",27.79
"628","Genco Shipping & Trading Ltd.","GNK",15.99
"629","HEXO Corp.","HEXO",0.67
"630","FTC Solar, Inc.","FTCI",6.8
"631","First Merchants Corp. (Indiana)","FRME",45.54
"632","Ever-Glory International Group, Inc.","EVK",2.36
"633","Exponent, Inc.","EXPO",103.67
"634","Franchise Group, Inc.","FRG",52.96
"635","First Hawaiian, Inc.","FHB",30.53
"636","Houston American Energy Corp.","HUSA",1.43
"637","Goodyear Tire & Rubber Co.","GT",21.89
"638","GH Research Plc","GHRS",18.76
"639","Farmmi, Inc.","FAMI",0.26
"640","GrowGeneration Corp.","GRWG",11.13
"641","Espey Manufacturing & Electronics Corp.","ESP",13.25
"642","Fusion Fuel Green Plc","HTOO",8.86
"643","FirstService Corp.","FSV",176.04
"644","HCA Healthcare, Inc.","HCA",252.14
"645","Franklin Covey Co.","FC",50.78
"646","Global Medical REIT, Inc.","GMRE",17.85
"647","FormFactor, Inc.","FORM",42.28
"648","Golden Minerals Co.","AUMN",0.34
"649","Ero Copper Corp.","ERO",14.41
"650","Humanigen, Inc.","HGEN",3.15
"651","Evofem Biosciences, Inc.","EVFM",0.38
"652","Fifth Third Bancorp","FITB",48.81
"653","Gray Television, Inc.","GTN",21.48
"654","EZCORP, Inc.","EZPW",7.32
"655","Huntsman Corp.","HUN",35.78
"656","Gilead Sciences, Inc.","GILD",71.26
"657","FinVolution Group","FINV",4.68
"658","Fiserv, Inc.","FISV",108.85
"659","Howmet Aerospace, Inc.","HWM",34.01
"660","Evogene Ltd.","EVGN",1.63
"661","FirstCash Holdings Inc","FCFS",73.94
"662","FS KKR Capital Corp.","FSK",21.83
"663","FIGS, Inc.","FIGS",22.52
"664","Flanigan's Enterprises, Inc.","BDL",30.24
"665","First Community Bancshares, Inc. (Virginia)","FCBC",35.48
"666","Green Dot Corp.","GDOT",36.06
"667","Hostess Brands, Inc.","TWNK",20.36
"668","Greenpro Capital Corp.","GRNQ",0.61
"669","Euroseas Ltd.","ESEA",25.74
"670","EPR Properties","EPR",48.7
"671","Essex Property Trust, Inc.","ESS",344.25
"672","Genius Brands International, Inc.","GNUS",1.09
"673","Histogen, Inc.","HSTO",0.3
"674","HNI Corp.","HNI",41.5
"675","HubSpot, Inc.","HUBS",510.34
"676","Genetron Holdings Ltd.","GTH",5.21
"677","Evoqua Water Technologies Corp.","AQUA",42.35
"678","Gogo, Inc.","GOGO",13.53
"679","Evaxion Biotech A/S","EVAX",4.34
"680","ESSA Pharma, Inc.","EPIX",12.55
"681","Forward Industries, Inc.","FORD",1.65
"682","Evolus, Inc.","EOLS",6.19
"683","iHuman, Inc.","IH",2.98
"684","Huaneng Power International, Inc.","HNP",22.45
"685","AMTD International, Inc.","HKIB",3.19
"686","AmeriServ Financial, Inc.","ASRV",3.98
"687","HudBay Minerals, Inc.","HBM",7.34
"688","HUYA, Inc.","HUYA",7
"689","Hut 8 Mining Corp.","HUT",6.61
"690","IAMGOLD Corp.","IAG",2.79
"691","Huize Holding Ltd.","HUIZ",1.43
"692","Huazhu Group Ltd.","HTHT",36.82
"693","I-Mab","IMAB",40.68
"694","Hywin Holdings Ltd.","HYW",5.73
"695","HollySys Automation Technologies Ltd.","HOLI",15.59
"696","Hailiang Education Group, Inc.","HLG",12.27
"697","High Tide, Inc.","HITI",4.58
"698","Honda Motor Co., Ltd.","HMC",29.74
"699","TC Energy Corp.","TRP",48.8
"700","Telecom Argentina SA","TEO",5
"701","Vodafone Group Plc","VOD",15.84
"702","The Real Brokerage, Inc.","REAX",3.1
"703","STMicroelectronics NV","STM",49.89
"704","SunOpta, Inc.","STKL",6.59
"705","Telefonaktiebolaget LM Ericsson","ERIC",11.05
"706","Titan Medical, Inc.","TMDI",0.62
"707","Taboola.com Ltd.","TBLA",6.72
"708","Vision Marine Technologies, Inc.","VMAR",4.84
"709","SoFi Technologies, Inc.","SOFI",13.72
"710","UBS Group AG","UBS",19.35
"711","Taseko Mines Ltd.","TGB",2.06
"712","TFI International, Inc.","TFII",102.81
"713","Thomson Reuters Corp.","TRI",112.68
"714","Telefonica Brasil SA","VIV",8.28
"715","Vasta Platform Ltd.","VSTA",4.03
"716","Suzano SA","SUZ",10.54
"717","The Bank of Nova Scotia","BNS",72.42
"718","The Lion Electric Co.","LEV",9.69
"719","TD Holdings, Inc.","GLG",0.35
"720","Teekay Tankers Ltd.","TNK",11.71
"721","UnitedHealth Group, Inc.","UNH",458.39
"722","TDH Holdings, Inc.","PETZ",4.11
"723","Suncor Energy, Inc.","SU",26.55
"724","Sun Life Financial, Inc.","SLF",56.09
"725","The Hackett Group, Inc.","HCKT",20.14
"726","VectivBio Holding AG","VECT",4.91
"727","TIM SA (Brazil)","TIMB",11.01
"728","TELUS International (CDA), Inc.","TIXT",30.13
"729","Vipshop Holdings Ltd.","VIPS",8.91
"730","trivago NV","TRVG",2.27
"731","Vicinity Motor Corp.","VEV",3.65
"732","Wheaton Precious Metals Corp.","WPM",38.56
"733","TELUS Corp.","TU",23.45
"734","TE Connectivity Ltd.","TEL",158.49
"735","Teck Resources Ltd.","TECK",30.42
"736","The Descartes Systems Group, Inc.","DSGX",75.15
"737","Tanzanian Gold Corp.","TRX",0.41
"738","China Xiangtai Food Co., Ltd.","PLIN",1.13
"739","CGI, Inc.","GIB",84.07
"740","Cassava Sciences, Inc.","SAVA",47.88
"741","Chipotle Mexican Grill, Inc.","CMG",1597.33
"742","Cenovus Energy, Inc.","CVE",13.71
"743","Chindata Group Holdings Ltd.","CD",5.68
"744","Centerra Gold, Inc.","CGAU",8.1
"745","China Pharma Holdings, Inc.","CPHI",0.41
"746","CI Financial Corp.","CIXX",20.96
"747","Centrais Elétricas Brasileiras SA","EBR",5.4
"748","Central Puerto SA","CEPU",3.09
"749","Carnival Plc","CUK",20.18
"750","Celyad Oncology SA","CYAD",3.85
"751","China Online Education Group","COE",1.12
"752","China HGS Real Estate, Inc.","HGSH",3.47
"753","China Eastern Airlines Corp. Ltd.","CEA",19.19
"754","Cheetah Mobile, Inc.","CMCM",1.29
"755","China Automotive Systems, Inc.","CAAS",2.65
"756","China Finance Online Co., Ltd.","JRJC",6.5
"757","China Liberal Education Holdings Ltd.","CLEU",1.29
"758","Celestica, Inc.","CLS",11.09
"759","China Recycling Energy Corp.","CREG",6.4
"760","China Green Agriculture, Inc.","CGA",9.27
"761","China Index Holdings Ltd.","CIH",1
"762","Chubb Ltd.","CB",201.16
"763","Centrais Elétricas Brasileiras SA","EBR/B",5.35
"764","Novartis AG","NVS",89.31
"765","Ryanair Holdings Plc","RYAAY",116.08
"766","Rio Tinto Plc","RIO",72.24
"767","Puhui Wealth Investment Management Co. Ltd.","PHCF",1.5
"768","Royal Bank of Canada","RY",112.13
"769","Pretium Resources, Inc.","PVG",14.1
"770","Restaurant Brands International, Inc.","QSR",58.3
"771","Sierra Wireless, Inc.","SWIR",16.92
"772","Sandstorm Gold Ltd.","SAND",5.64
"773","Opthea Ltd.","OPT",7.59
"774","Royal Dutch Shell Plc","RDS/B",47.32
"775","Sierra Oncology, Inc.","SRRA",21.96
"776","North American Construction Group Ltd.","NOA",15.07
"777","Royal Caribbean Group","RCL",81.01
"778","Puyi, Inc.","PUYI",6.94
"779","Ritchie Bros. Auctioneers, Inc.","RBA",59.79
"780","Royal Dutch Shell Plc","RDS/A",47.28
"781","Puxin Ltd.","NEW",0.35
"782","Qudian Inc.","QD",1.02
"783","Repare Therapeutics, Inc.","RPTX",16.7
"784","Nutrien Ltd.","NTR",69.14
"785","PyroGenesis Canada, Inc.","PYR",2.75
"786","Osisko Gold Royalties Ltd.","OR",11.25
"787","Purple Biotech Ltd.","PPBT",4.15
"788","Onion Global Ltd.","OG",2.2
"789","Sierra Metals, Inc.","SMTS",1.3
"790","Resolute Forest Products, Inc.","RFP",15.14
"791","Rogers Communications, Inc.","RCI",48.75
"792","Quotient Ltd.","QTNT",2.19
"793","Profound Medical Corp.","PROF",10.5
"794","Precision Drilling Corp.","PDS",41.39
"795","Oriental Culture Holding Ltd.","OCG",5.21
"796","CN Energy Group, Inc.","CNEY",2.5
"797","Eneti, Inc.","NETI",7.72
"798","Magna International, Inc.","MGA",85.59
"799","Milestone Pharmaceuticals, Inc.","MIST",7.1
"800","Mogu, Inc.","MOGU",0.37
"801","Metalla Royalty & Streaming Ltd.","MTA",6.44
"802","Peraso Inc","PRSO",3.75
"803","Logitech International SA","LOGI",80.94
"804","Cenntro Electric Group Limited","NAKD",3.95
"805","Manulife Financial Corp.","MFC",20.2
"806","monday.com Ltd.","MNDY",237.38
"807","Lloyds Banking Group Plc","LYG",2.85
"808","Moxian (BVI), Inc.","MOXC",2.92
"809","Medicenna Therapeutics Corp.","MDNA",1.87
"810","Liquid Media Group Ltd.","YVR",1.01
"811","Newegg Commerce, Inc.","NEGG",8.86
"812","Maverix Metals, Inc.","MMX",4.09
"813","Mdjm Ltd.","MDJH",1.72
"814","Meten Holding Group Ltd.","METX",0.23
"815","Mind Medicine (MindMed), Inc.","MNMD",1.23
"816","Liminal BioSciences, Inc.","LMNL",1.12
"817","Mesoblast Ltd.","MESO",4.65
"818","MAG Silver Corp.","MAG",14.65
"819","Lizhi, Inc.","LIZI",1.62
"820","Mercurity Fintech Holding, Inc.","MFH",2.74
"821","Loma Negra Compañía Industrial Argentina SA","LOMA",6.46
"822","Main Street Capital Corp.","MAIN",44.41
"823","MMTec, Inc.","MTC",0.6
"824","Luokung Technology Corp.","LKCO",0.61
"825","Mogo, Inc.","MOGO",2.92
"826","MercadoLibre, Inc.","MELI",1085.68
"827","MINISO Group Holding Ltd.","MNSO",10.48
"828","Loop Industries, Inc.","LOOP",11.56
"829","Mercer International, Inc.","MERC",12.08
"830","MedAvail Holdings, Inc.","MDVL",1.28
"831","Materialise NV","MTLS",22.06
"832","Lixiang Education Holding Co., Ltd.","LXEH",10.2
"833","Methanex Corp.","MEOH",43.56
"834","Molecular Data, Inc.","MKD",0.21
"835","Lufax Holding Ltd.","LU",5.37
"836","Molecular Partners AG","MOLN",16.66
"837","Hexcel Corp.","HXL",54.7
"838","GEE Group, Inc.","JOB",0.59
"839","ICON plc","ICLR",280.25
"840","Envela Corp.","ELA",4.14
"841","Fidus Investment Corp.","FDUS",17.83
"842","Galapagos NV","GLPG",51.76
"843","Gap, Inc.","GPS",18.13
"844","First Industrial Realty Trust, Inc.","FR",61.47
"845","Hall of Fame Resort & Entertainment Co.","HOFV",1.58
"846","Ideanomics, Inc.","IDEX",1.19
"847","First US Bancshares, Inc.","FUSB",10.58
"848","Great Ajax Corp.","AJX",13.31
"849","Floor & Decor Holdings, Inc.","FND",114.5
"850","Healthpeak Properties, Inc.","PEAK",35.96
"851","iHeartMedia, Inc.","IHRT",20.65
"852","Franklin Street Properties Corp.","FSP",6.11
"853","Hilton Grand Vacations, Inc.","HGV",54.3
"854","Gossamer Bio, Inc.","GOSS",12
"855","Hormel Foods Corp.","HRL",49.84
"856","Eton Pharmaceuticals, Inc.","ETON",4.25
"857","Equity LifeStyle Properties, Inc.","ELS",81
"858","GoodRx Holdings, Inc.","GDRX",26.36
"859","FedNat Holding Co.","FNHC",1.5
"860","Hasbro, Inc.","HAS",102.76
"861","Greenbrook Tms, Inc.","GBNH",3.94
"862","Equinix, Inc.","EQIX",774.43
"863","Equity Bancshares, Inc.","EQBK",34.68
"864","First Advantage Corp.","FA",18
"865","G1 Therapeutics, Inc.","GTHX",9.68
"866","Harmonic, Inc.","HLIT",11.19
"867","First Majestic Silver Corp.","AG",10.32
"868","Gracell Biotechnologies Inc.","GRCL",4.73
"869","GeoVax Labs, Inc.","GOVX",3.53
"870","Farmers & Merchants Bancorp, Inc. (Ohio)","FMAO",32.85
"871","FedEx Corp.","FDX",263.98
"872","Globalstar, Inc.","GSAT",1.07
"873","Forestar Group Inc.","FOR",20.17
"874","Genworth Financial, Inc.","GNW",4.26
"875","First Citizens BancShares, Inc. (North Carolina)","FCNCA",905.91
"876","G. Willi Food International Ltd.","WILC",19.43
"877","Fusion Pharmaceuticals, Inc.","FUSN",4.71
"878","F-star Therapeutics, Inc.","FSTX",4.82
"879","Flowers Foods, Inc.","FLO",28.03
"880","FARO Technologies, Inc.","FARO",63.63
"881","Global-e Online Ltd.","GLBE",50.45
"882","FFBW, Inc.","FFBW",11.65
"883","Gannett Co., Inc.","GCI",5.05
"884","Etsy, Inc.","ETSY",185.16
"885","GameStop Corp.","GME",140.55
"886","Freeport-McMoRan, Inc.","FCX",41.89
"887","Everbridge, Inc.","EVBG",59.92
"888","Guardant Health, Inc.","GH",87.84
"889","Home Bancshares, Inc. (Arkansas)","HOMB",25.78
"890","Flexible Solutions International, Inc.","FSI",3.55
"891","Groupon, Inc.","GRPN",23.65
"892","Genmab A/S","GMAB",36.28
"893","Galmed Pharmaceuticals Ltd.","GLMD",1.9
"894","First National Corp. (Virginia)","FXNC",22.75
"895","Fluent, Inc.","FLNT",1.95
"896","Hilltop Holdings, Inc.","HTH",37.3
"897","Grupo Televisa SAB","TV",10
"898","Fossil Group, Inc.","FOSL",10.45
"899","Evergy, Inc.","EVRG",67.54
"900","EOG Resources, Inc.","EOG",98.17
"901","Four Corners Property Trust, Inc.","FCPT",28.47
"902","Gaming & Leisure Properties, Inc.","GLPI",46.59
"903","GoldMining, Inc.","GLDG",1.47
"904","IDEX Corp.","IEX",227.73
"905","Exela Technologies, Inc.","XELA",0.7
"906","Hilton Worldwide Holdings, Inc.","HLT",151.99
"907","Escalade, Inc.","ESCA",16.56
"908","Hersha Hospitality Trust","HT",9.78
"909","Evolution Petroleum Corp.","EPM",5.41
"910","Global Blue Group Holding AG","GB",6.78
"911","EZGO Technologies Ltd.","EZGO",1.33
"912","First Mid Bancshares, Inc.","FMBH",44.68
"913","Excellon Resources, Inc.","EXN",0.93
"914","Five9, Inc.","FIVN",133.98
"915","Ferrari NV","RACE",257.01
"916","FreightCar America, Inc.","RAIL",4.01
"917","Five Star Senior Living, Inc.","FVE",3.08
"918","Gladstone Land Corp.","LAND",32.08
"919","Hertz Global Holdings, Inc.","HTZ",24.32
"920","Fluor Corp.","FLR",23.83
"921","Highway Holdings Ltd.","HIHO",3.85
"922","First Bank (Williamstown, New Jersey)","FRBA",14.83
"923","Four Seasons Education (Cayman), Inc.","FEDU",0.68
"924","Forward Air Corp.","FWRD",114.37
"925","First Community Corp. (South Carolina)","FCCO",21.15
"926","Graco, Inc.","GGG",77.06
"927","Humana, Inc.","HUM",363.46
"928","EXACT Sciences Corp.","EXAS",75.68
"929","Ferguson Plc","FERG",174.06
"930","Hewlett-Packard Enterprise Co.","HPE",17.13
"931","Exxon Mobil Corp.","XOM",68.88
"932","Equitrans Midstream Corp.","ETRN",10.36
"933","Eversource Energy","ES",89.66
"934","Frontline Ltd.","FRO",7.48
"935","Globe Life, Inc.","GL",100.7
"936","Five Below, Inc.","FIVE",186
"937","First Seacoast Bancorp","FSEA",10.62
"938","Eqonex Ltd.","EQOS",1.94
"939","First Commonwealth Financial Corp. (Pennsylvania)","FCF",17.24
"940","Kiora Pharmaceuticals Inc","KPRX",1.01
"941","Foghorn Therapeutics, Inc.","FHTX",18.09
"942","Horizon Therapeutics Plc","HZNP",98.14
"943","Forte Biosciences, Inc.","FBRX",1.88
"944","Frequency Therapeutics, Inc.","FREQ",5.49
"945","Exterran Corp.","EXTN",3.47
"946","Eos Energy Enterprises, Inc.","EOSE",6.51
"947","Huntington Bancshares, Inc.","HBAN",17.23
"948","Equillium, Inc.","EQ",3.47
"949","Helen of Troy Ltd.","HELE",231.95
"950","Idera Pharmaceuticals, Inc.","IDRA",0.62
"951","Full Truck Alliance Co., Ltd.","YMM",8.29
"952","Fortuna Silver Mines, Inc.","FSM",3.61
"953","Green Plains, Inc.","GPRE",35.91
"954","G Medical Innovations Holdings Ltd.","GMVD",2.26
"955","Forward Pharma A/S","FWP",5.95
"956","Gildan Activewear, Inc.","GIL",41.61
"957","Five Star Bancorp","FSBC",31.35
"958","First Guaranty Bancshares, Inc.","FGBI",20.25
"959","GAN Ltd.","GAN",8.49
"960","Fair Isaac Corp.","FICO",440.05
"961","FuelCell Energy, Inc.","FCEL",5.1
"962","Equity Commonwealth","EQC",26.67
"963","First Savings Financial Group, Inc.","FSFG",26.6
"964","GrafTech International Ltd.","EAF",11.82
"965","Genuine Parts Co.","GPC",138.94
"966","Gold Resource Corp.","GORO",1.52
"967","Frontier Communications Parent, Inc.","FYBR",29.98
"968","Fidelity National Information Services, Inc.","FIS",117.67
"969","IDEXX Laboratories, Inc.","IDXX",550.03
"970","Expeditors International of Washington, Inc.","EXPD",128.15
"971","Fortive Corp.","FTV",71.95
"972","Expedia Group, Inc.","EXPE",179.88
"973","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","HASI",49.01
"974","Gartner, Inc.","IT",299.15
"975","Hawaiian Electric Industries, Inc.","HE",42.74
"976","Global Cord Blood Corp.","CO",4.51
"977","Equinor ASA","EQNR",27.83
"978","HSBC Holdings Plc","HSBC",32.74
"979","Essential Utilities, Inc.","WTRG",52.18
"980","Genius Sports Ltd.","GENI",7.32
"981","Eurodry Ltd.","EDRY",19.19
"982","HMG/Courtland Properties, Inc.","HMG",23.5
"983","Globus Medical, Inc.","GMED",71.55
"984","Fox Factory Holding Corp.","FOXF",159.58
"985","First Eagle Alternative Capital BDC, Inc.","FCRD",4.7
"986","IAA, Inc.","IAA",49.47
"987","Gold Royalty Corp.","GROY",4.76
"988","FirstEnergy Corp.","FE",41.4
"989","FLEX LNG Ltd.","FLNG",21.9
"990","Fulgent Genetics, Inc.","FLGT",81.22
"991","First United Corp.","FUNC",19.64
"992","Focus Financial Partners, Inc.","FOCS",56.66
"993","Fomento Economico Mexicano SAB de CV","FMX",79.6
"994","Essent Group Ltd.","ESNT",47.72
"995","fuboTV, Inc.","FUBO",13.97
"996","Hanesbrands, Inc.","HBI",16.87
"997","Gevo, Inc.","GEVO",4.17
"998","First Business Financial Services, Inc.","FBIZ",30.41
"999","Envista Holdings Corp.","NVST",44.42
"1000","EQT Corp.","EQT",22.8
"1001","Falcon Minerals Corp.","FLMN",5.36
"1002","EVI Industries, Inc.","EVI",30
"1003","Healthcare Services Group, Inc.","HCSG",17.67
"1004","FTI Consulting, Inc.","FCN",148.57
"1005","Federal Signal Corp.","FSS",41.93
"1006","iClick Interactive Asia Group Ltd.","ICLK",4.34
"1007","Fangdd Network Group Ltd.","DUO",0.37
"1008","Fox Corp.","FOX",36.01
"1009","Golden Star Resources Ltd.","GSS",3.86
"1010","Galecto, Inc.","GLTO",2.94
"1011","Hallador Energy Co.","HNRG",2.5
"1012","Evans Bancorp, Inc.","EVBN",40.79
"1013","Gitlab, Inc.","GTLB",70.66
"1014","Full House Resorts, Inc.","FLL",10.65
"1015","Green Brick Partners, Inc.","GRBK",25.79
"1016","Forian, Inc.","FORA",7.93
"1017","Fate Therapeutics, Inc.","FATE",48.34
"1018","General Electric Co.","GE",101.4
"1019","Finance of America Cos., Inc.","FOA",4.07
"1020","ESCO Technologies, Inc.","ESE",88.04
"1021","Farfetch Ltd.","FTCH",29.39
"1022","Herbalife Nutrition Ltd.","HLF",43.28
"1023","Halozyme Therapeutics, Inc.","HALO",37.29
"1024","Houghton Mifflin Harcourt Co.","HMHC",15.23
"1025","eXp World Holdings, Inc.","EXPI",28.46
"1026","Hyliion Holdings Corp.","HYLN",5.8
"1027","Fiverr International Ltd.","FVRR",98.61
"1028","General Mills, Inc.","GIS",68.55
"1029","Flywire Corp","FLYW",33.08
"1030","Futu Holdings Ltd.","FUTU",41.96
"1031","Golden Nugget Online Gaming, Inc.","GNOG",9.92
"1032","Harbor Custom Development, Inc.","HCDI",2.4
"1033","HealthEquity, Inc.","HQY",45.38
"1034","FONAR Corp.","FONR",15.65
"1035","First Northwest Bancorp (Washington)","FNWB",20.33
"1036","Erasca, Inc.","ERAS",12.92
"1037","Gatos Silver, Inc.","GATO",9.57
"1038","Fidelity National Financial, Inc.","FNF",53.26
"1039","Global Ship Lease, Inc.","GSL",22.65
"1040","Franklin Wireless Corp.","FKWL",4.54
"1041","Garmin Ltd.","GRMN",130.94
"1042","Grupo SIMEC SAB de CV","SIM",24.8
"1043","Fidelity D&D Bancorp, Inc.","FDBC",52.92
"1044","Franco-Nevada Corp.","FNV",127.31
"1045","FS Bancorp, Inc.","FSBW",35.04
"1046","First Republic Bank (San Francisco, California)","FRC",204.1
"1047","Fresh Del Monte Produce, Inc.","FDP",29.06
"1048","Golden Ocean Group Ltd.","GOGL",9.88
"1049","Gladstone Commercial Corp.","GOOD",24.77
"1050","Global Internet of People, Inc.","SDH",1.27
"1051","GoDaddy, Inc.","GDDY",76.82
"1052","FSD Pharma, Inc.","HUGE",1.03
"1053","Granite Point Mortgage Trust, Inc.","GPMT",11.86
"1054","Graphic Packaging Holding Co.","GPK",19.73
"1055","Hess Corp.","HES",86.65
"1056","Femasys, Inc.","FEMY",3.29
"1057","Gritstone Bio Inc.","GRTS",6.45
"1058","Farmer Brothers Co.","FARM",7.56
"1059","Hawaiian Holdings, Inc.","HA",19.76
"1060","Globus Maritime Ltd.","GLBS",2.15
"1061","Enveric Biosciences, Inc.","ENVB",0.84
"1062","Everi Holdings, Inc.","EVRI",20.2
"1063","iBio, Inc.","IBIO",0.52
"1064","Erie Indemnity Co.","ERIE",194.6
"1065","Genprex, Inc.","GNPX",2.23
"1066","Epsilon Energy Ltd.","EPSN",5.64
"1067","Getty Realty Corp.","GTY",31.41
"1068","Gentex Corp.","GNTX",35.18
"1069","FAT Brands, Inc.","FAT",11
"1070","Franklin Financial Services Corp. (Pennsylvania)","FRAF",33.43
"1071","Hope Bancorp, Inc.","HOPE",16.13
"1072","Global Blood Therapeutics, Inc.","GBT",28.64
"1073","Fortune Brands Home & Security, Inc.","FBHS",101.3
"1074","Esperion Therapeutics, Inc.","ESPR",4.14
"1075","Genpact Ltd.","G",52.3
"1076","Fanhua, Inc.","FANH",7.4
"1077","FLEETCOR Technologies, Inc.","FLT",243.11
"1078","FREYR Battery SA","FREY",9.78
"1079","Eventbrite, Inc.","EB",16.9
"1080","Healthcare Trust of America, Inc.","HTA",33.08
"1081","IDEX Biometrics ASA","IDBA",25.66
"1082","GreenSky, Inc.","GSKY",11.85
"1083","General Motors Co.","GM",62.27
"1084","Evelo Biosciences, Inc.","EVLO",5.98
"1085","Flushing Financial Corp.","FFIC",25.57
"1086","H&R Block, Inc.","HRB",23.26
"1087","Frequency Electronics, Inc.","FEIM",9.44
"1088","Finch Therapeutics Group, Inc.","FNCH",9.32
"1089","Ferro Corp.","FOE",21.8
"1090","First Bancorp (North Carolina)","FBNC",48.3
"1091","ERYTech Pharma SA","ERYP",2.32
"1092","Financial Institutions, Inc.","FISI",33.7
"1093","Genfit SA","GNFT",4.84
"1094","GOL Linhas Aéreas Inteligentes SA","GOL",5.68
"1095","GBS Inc. (New York)","GBS",1.57
"1096","Ideal Power, Inc.","IPWR",10.26
"1097","Farmland Partners, Inc.","FPI",11.68
"1098","Glory Star New Media Group Holdings Ltd.","GSMG",1.15
"1099","Farmers National Banc Corp.","FMNB",19.67
"1100","Essential Properties Realty Trust, Inc.","EPRT",28.32
"1101","GoPro, Inc.","GPRO",10.67
"1102","FMC Corp.","FMC",108.2
"1103","First Busey Corp.","BUSE",29.47
"1104","Fiesta Restaurant Group, Inc.","FRGI",10.76
"1105","Federal Agricultural Mortgage Corp.","AGM/A",119
"1106","Hyatt Hotels Corp.","H",96.89
"1107","eSports Technologies, Inc.","EBET",17.39
"1108","Federal Agricultural Mortgage Corp.","AGM",127.83
"1109","Extreme Networks, Inc.","EXTR",14.25
"1110","Evercore, Inc.","EVR",137.04
"1111","EPAM Systems, Inc.","EPAM",556.66
"1112","Express, Inc.","EXPR",3.05
"1113","ICL Group Ltd.","ICL",10.41
"1114","GDS Holdings Ltd.","GDS",42.85
"1115","Franklin Electric Co., Inc.","FELE",91.67
"1116","GLOBALFOUNDRIES, Inc.","GFS",60.02
"1117","Funko, Inc.","FNKO",18.41
"1118","Fortinet, Inc.","FTNT",314.44
"1119","HollyFrontier Corp.","HFC",33.65
"1120","GreenTree Hospitality Group Ltd.","GHG",8.55
"1121","FTS International, Inc.","FTSI",26.35
"1122","Flotek Industries, Inc.","FTK",1.08
"1123","Fox Corp.","FOXA",39.04
