"","company","tikr","price"
"130","Aspen Technology, Inc.","AZPN",147.47
"131","Amalgamated Financial Corp.","AMAL",17.49
"132","AcelRx Pharmaceuticals, Inc.","ACRX",0.53
"133","Ameriprise Financial, Inc.","AMP",319.34
"134","Applied Industrial Technologies, Inc.","AIT",101.21
"135","Altria Group, Inc.","MO",49.79
"136","Astra Space, Inc.","ASTR",6.13
"137","AG Mortgage Investment Trust, Inc.","MITT",10.39
"138","AAR Corp.","AIR",41.68
"139","American Public Education, Inc.","APEI",23.01
"140","Advanced Micro Devices, Inc.","AMD",131.98
"141","Adagene, Inc.","ADAG",8.75
"142","Amryt Pharma Plc","AMYT",10.78
"143","Astrazeneca plc - ADR","AZN",57.5
"144","AIkido Pharma, Inc.","AIKI",0.57
"145","Associated Capital Group, Inc.","AC",43.3
"146","Asbury Automotive Group, Inc.","ABG",175.19
"147","Air T, Inc.","AIRT",25.27
"148","Atea Pharmaceuticals, Inc.","AVIR",7.63
"149","Atrion Corp.","ATRI",675
"150","AmpliTech Group, Inc.","AMPG",3.66
"151","Akari Therapeutics Plc","AKTX",1.45
"152","ATA Creativity Global","AACG",2.64
"153","Aptevo Therapeutics, Inc.","APVO",7.37
"154","Altair Engineering, Inc.","ALTR",67.57
"155","Asana, Inc.","ASAN",61.2
"156","Acorda Therapeutics, Inc.","ACOR",2.29
"157","Alnylam Pharmaceuticals, Inc.","ALNY",148.34
"158","Aileron Therapeutics, Inc.","ALRN",0.5
"159","Americold Realty Trust, Inc.","COLD",30.99
"160","BitNile Holdings Inc.","NILE",1.14
"161","Aesthetic Medical International Holdings Group Ltd.","AIH",3.61
"162","American Realty Investors, Inc.","ARL",12.98
"163","Agiliti, Inc. (Minnesota)","AGTI",20.33
"164","Ares Management Corp.","ARES",74.99
"165","ATN International, Inc.","ATNI",41.77
"166","Advanced Emissions Solutions, Inc.","ADES",7.13
"167","Amkor Technology, Inc.","AMKR",23.72
"168","Affimed NV","AFMD",4.83
"169","American Woodmark Corp.","AMWD",62.6
"170","Amphenol Corp.","APH",82.13
"171","AnaptysBio, Inc.","ANAB",32.88
"172","AnPac Bio-Medical Science Co. Ltd.","ANPC",1.19
"173","Allegheny Technologies, Inc.","ATI",18.27
"174","Astec Industries, Inc.","ASTE",71.69
"175","American Eagle Outfitters, Inc.","AEO",23.95
"176","Acumen Pharmaceuticals, Inc.","ABOS",5.75
"177","Ames National Corp.","ATLO",24.74
"178","AbCellera Biologics, Inc.","ABCL",11.81
"179","Aridis Pharmaceuticals, Inc.","ARDS",1.72
"180","American Water Works Co., Inc.","AWK",173.51
"181","Aerovate Therapeutics, Inc.","AVTE",10.11
"182","Amphastar Pharmaceuticals, Inc.","AMPH",25.05
"183","Aprea Therapeutics, Inc.","APRE",2.79
"184","Arcutis Biotherapeutics, Inc.","ARQT",18.74
"185","Aptose Biosciences, Inc.","APTO",1.38
"186","Allegion Plc","ALLE",126.66
"187","Artisan Partners Asset Management, Inc.","APAM",46.9
"188","1Life Healthcare, Inc.","ONEM",15.42
"189","Aurinia Pharmaceuticals, Inc.","AUPH",18.86
"190","Allied Healthcare Products, Inc.","AHPI",5.36
"191","Aluminum Corp. of China Ltd.","ACH",14.05
"192","Aditxt Inc","ADTX",0.48
"193","Allegiant Travel Co.","ALGT",178.15
"194","Agnico Eagle Mines Ltd.","AEM",50.15
"195","AMMO, Inc.","POWW",4.97
"196","111, Inc.","YI",2.95
"197","Alcon AG","ALC",80.48
"198","Atmos Energy Corp.","ATO",105.31
"199","Advansix, Inc.","ASIX",45.57
"200","Ardelyx, Inc.","ARDX",1.01
"201","Autodesk, Inc.","ADSK",262.22
"202","AquaBounty Technologies, Inc.","AQB",2.03
"203","Atlantica Sustainable Infrastructure Plc","AY",34.11
"204","Aptiv Plc","APTV",169.48
"205","Archrock, Inc.","AROC",8.19
"206","Astria Therapeutics Inc","ATXS",5.24
"207","Accelerate Diagnostics, Inc.","AXDX",4.54
"208","Ambow Education Holding Ltd.","AMBO",0.89
"209","ATAI Life Sciences NV","ATAI",6.39
"210","AMERISAFE, Inc.","AMSF",55.29
"211","ArcBest Corp.","ARCB",100.72
"212","Arrow Electronics, Inc.","ARW",132.96
"213","Aflac, Inc.","AFL",62.15
"214","Abercrombie & Fitch Co.","ANF",33.17
"215","American Tower Corp.","AMT",266.57
"216","AerSale Corp.","ASLE",15.76
"217","Alphabet, Inc.","GOOG",2740.74
"218","AVEO Pharmaceuticals, Inc.","AVEO",4.19
"219","Agile Therapeutics, Inc.","AGRX",0.45
"220","Artelo Biosciences, Inc.","ARTL",0.5
"221","ADMA Biologics, Inc.","ADMA",1.34
"222","Athira Pharma, Inc.","ATHA",12.05
"223","AutoZone, Inc.","AZO",2015.01
"224","Advanced Drainage Systems, Inc.","WMS",126.02
"225","Antero Resources Corp.","AR",18.43
"226","AgEagle Aerial Systems, Inc.","UAVS",1.52
"227","Armstrong Flooring, Inc.","AFI",2.25
